h_2_0,h_2_1,h_2_2,h_2_3,h_2_4,h_2_5
-0.9999976,0.9999519,-0.9999989,-0.9999984,0.99992806,-0.99999666
-0.9983808,0.9928241,-0.9991601,-0.9990011,0.99274945,-0.9970314
-0.99894285,0.9941766,-0.99933934,-0.9995383,0.9935879,-0.9980833
-0.9968789,0.94173276,-0.9911613,-0.99451816,0.9821043,-0.98712045
-0.9997645,0.9941862,-0.9997029,-0.9994784,0.9986301,-0.9990236
0.5845101,-0.5272,0.6496262,0.58126897,-0.5090738,0.6037434
-0.9992333,0.99869543,-0.9998077,-0.99979717,0.99558437,-0.9995466
0.99998534,-0.9999354,0.999997,0.9999954,-0.99982333,0.9999886
0.99998856,-0.9999598,0.9999985,0.9999974,-0.9998759,0.9999934
-0.999864,0.997862,-0.9998175,-0.9998464,0.99819326,-0.9996247
-0.999995,0.99993813,-0.99999833,-0.9999963,0.9999073,-0.99999356
0.94852394,-0.92057943,0.9690594,0.95903766,-0.8961785,0.9551631
-0.9999876,0.9999521,-0.99999756,-0.99999565,0.99976164,-0.999991
-0.9983808,0.9928241,-0.9991601,-0.9990011,0.99274945,-0.9970314
-0.99999493,0.99997675,-0.9999989,-0.99999785,0.99985784,-0.99999666
0.9997112,-0.9992114,0.9999183,0.999892,-0.9983143,0.99976176
-0.9854063,0.93902594,-0.9884557,-0.98950917,0.9613796,-0.9720164
-0.9999484,0.99904364,-0.99993306,-0.99993277,0.9991214,-0.99985963
-0.999916,0.9997448,-0.9999811,-0.9999752,0.99916774,-0.999934
-0.9999931,0.9999553,-0.99999815,-0.9999964,0.9998326,-0.9999936
-0.9997605,0.9971657,-0.99975556,-0.99964744,0.99798495,-0.9993153
-0.9982122,0.9836051,-0.9978538,-0.9986482,0.9888867,-0.99553615
-0.47483438,0.43471998,-0.65158975,-0.5661411,0.45683634,-0.5163764
-0.99963063,0.9977119,-0.9997675,-0.99981755,0.99674284,-0.9993543
-0.9999606,0.999761,-0.9999856,-0.99997896,0.999491,-0.9999565
0.99963367,-0.99908334,0.99987686,0.9998107,-0.99764764,0.9996955
-0.99999493,0.99997675,-0.9999989,-0.99999785,0.99985784,-0.99999666
-0.9999295,0.9995673,-0.99996716,-0.9999748,0.9990182,-0.9999235
-0.99944484,0.9846597,-0.9986103,-0.9989352,0.9954858,-0.9975547
-0.9767792,0.7522274,-0.9324027,-0.96341455,0.9165786,-0.9161845
0.9978375,-0.9957765,0.9991112,0.99871343,-0.99101365,0.9981248
-0.98791426,0.98026633,-0.9949435,-0.9956437,0.9651578,-0.9907407
-0.9983808,0.9928241,-0.9991601,-0.9990011,0.99274945,-0.9970314
0.99995446,-0.9998772,0.99999297,0.9999893,-0.99960876,0.99997425
0.9997112,-0.9992114,0.9999183,0.999892,-0.9983143,0.99976176
0.61867553,-0.5498856,0.59785134,0.6957375,-0.49509433,0.5961879
-0.99999624,0.99997026,-0.9999989,-0.99999785,0.999894,-0.9999964
0.5854217,-0.49557173,0.6649171,0.5364186,-0.5480149,0.5980354
0.98625875,-0.97856367,0.99302477,0.99076366,-0.96401656,0.9877016
-0.98779094,0.9809722,-0.99531317,-0.99503857,0.96443564,-0.9912403
-0.98791426,0.98026633,-0.9949435,-0.9956437,0.9651578,-0.9907407
0.99998444,-0.9999399,0.9999974,0.9999968,-0.9998278,0.99998903
-0.9999773,0.9999223,-0.9999956,-0.9999931,0.99966383,-0.9999834
0.9989968,-0.9974903,0.9996636,0.9994993,-0.9952821,0.9991954
-0.99956006,0.9945461,-0.9994378,-0.9995926,0.99586636,-0.9988264
-0.45273364,0.41309842,-0.50575644,-0.56194377,0.33366343,-0.47185922
0.9999905,-0.9999574,0.9999984,0.9999968,-0.9998808,0.9999938
-0.9997645,0.9941862,-0.9997029,-0.9994784,0.9986301,-0.9990236
-0.99999774,0.9999744,-0.9999991,-0.9999989,0.99991125,-0.9999978
-0.99999774,0.9999744,-0.9999991,-0.9999989,0.99991125,-0.9999978
-0.9999919,0.99994206,-0.9999975,-0.9999975,0.99979174,-0.9999927
-0.9854063,0.93902594,-0.9884557,-0.98950917,0.9613796,-0.9720164
-0.9767792,0.7522274,-0.9324027,-0.96341455,0.9165786,-0.9161845
-0.9998663,0.9953229,-0.99976045,-0.99975055,0.9987081,-0.9994299
0.99998534,-0.9999354,0.999997,0.9999954,-0.99982333,0.9999886
-0.99748224,0.9950918,-0.99917436,-0.9988652,0.98818606,-0.9982547
-0.9993363,0.99840873,-0.9997995,-0.99978185,0.99625725,-0.9994338
-0.999916,0.9997448,-0.9999811,-0.9999752,0.99916774,-0.999934
-0.9994287,0.9970142,-0.99969363,-0.99958694,0.9963616,-0.9989261
0.99998534,-0.9999354,0.999997,0.9999954,-0.99982333,0.9999886
-0.98779094,0.9809722,-0.99531317,-0.99503857,0.96443564,-0.9912403
-0.91862667,0.89052284,-0.9507708,-0.9542726,0.83807456,-0.9314912
0.9999905,-0.9999574,0.9999984,0.9999968,-0.9998808,0.9999938
-0.5083535,0.440985,-0.5955836,-0.67945564,0.4441842,-0.5190647
-0.99076396,0.9411161,-0.98927325,-0.9940758,0.9638948,-0.9788229
0.999745,-0.99948347,0.9999349,0.9999252,-0.99809504,0.9998481
-0.99996835,0.9998726,-0.99999243,-0.99998856,0.99955183,-0.9999737
0.9981739,-0.9962266,0.9993319,0.99919164,-0.9927167,0.99842995
-0.9999773,0.9999223,-0.9999956,-0.9999931,0.99966383,-0.9999834
-0.99999654,0.99998206,-0.9999992,-0.99999833,0.99988604,-0.99999774
-0.999045,0.9827331,-0.9984135,-0.9979696,0.9951981,-0.9962802
-0.99998593,0.99992806,-0.99999636,-0.999994,0.99973375,-0.9999881
0.9998138,-0.9994904,0.9999617,0.9999306,-0.9988986,0.99987656
-0.99995786,0.99969447,-0.99997103,-0.99996924,0.9991186,-0.9999399
0.9997112,-0.9992114,0.9999183,0.999892,-0.9983143,0.99976176
-0.9999919,0.99994206,-0.9999975,-0.9999975,0.99979174,-0.9999927
-0.99998224,0.9998999,-0.9999948,-0.99999523,0.99965787,-0.99998456
-0.9993363,0.99840873,-0.9997995,-0.99978185,0.99625725,-0.9994338
-0.9854063,0.93902594,-0.9884557,-0.98950917,0.9613796,-0.9720164
-0.92507213,0.89338166,-0.9573015,-0.9657414,0.8626349,-0.9349466
-0.9968789,0.94173276,-0.9911613,-0.99451816,0.9821043,-0.98712045
-0.9998663,0.9953229,-0.99976045,-0.99975055,0.9987081,-0.9994299
-0.79926056,0.10803793,-0.47802532,-0.71067345,0.5948906,-0.45827708
0.9992354,-0.99793506,0.9997196,0.99970317,-0.99606305,0.9993615
-0.999864,0.997862,-0.9998175,-0.9998464,0.99819326,-0.9996247
0.94749916,-0.92180485,0.9711543,0.96675444,-0.90361345,0.95471835
-0.47483438,0.43471998,-0.65158975,-0.5661411,0.45683634,-0.5163764
-0.99739754,0.99550813,-0.9991643,-0.9992109,0.9889887,-0.99824184
0.99998534,-0.9999354,0.999997,0.9999954,-0.99982333,0.9999886
0.99999815,-0.99999076,0.99999976,0.9999996,-0.9999666,0.999999
0.98948723,-0.98385054,0.9958531,0.99395657,-0.97179157,0.9920915
0.9935374,-0.987249,0.9973606,0.9965164,-0.98084426,0.99469036
0.94749916,-0.92180485,0.9711543,0.96675444,-0.90361345,0.95471835
-0.44299382,0.3953847,-0.5536216,-0.50408804,0.34363577,-0.49986148
-0.9999773,0.9999223,-0.9999956,-0.9999931,0.99966383,-0.9999834
-0.9994287,0.9970142,-0.99969363,-0.99958694,0.9963616,-0.9989261
0.9899487,-0.98295593,0.9957898,0.99228776,-0.97238183,0.99207973
-0.99998146,0.99981844,-0.9999905,-0.9999915,0.9996185,-0.99997735
0.99963367,-0.99908334,0.99987686,0.9998107,-0.99764764,0.9996955
0.92756104,-0.8980677,0.9591189,0.93181485,-0.8778398,0.9373631
-0.9982122,0.9836051,-0.9978538,-0.9986482,0.9888867,-0.99553615
-0.99996835,0.9998726,-0.99999243,-0.99998856,0.99955183,-0.9999737
-0.99999475,0.99997073,-0.9999987,-0.9999986,0.9998475,-0.9999962
-0.43748358,0.42296535,-0.6947121,-0.5104933,0.47690946,-0.5295477
-0.9999295,0.9995673,-0.99996716,-0.9999748,0.9990182,-0.9999235
0.94852394,-0.92057943,0.9690594,0.95903766,-0.8961785,0.9551631
0.98700523,-0.97923505,0.99305934,0.99282277,-0.963146,0.9882115
-0.9994287,0.9970142,-0.99969363,-0.99958694,0.9963616,-0.9989261
0.9981739,-0.9962266,0.9993319,0.99919164,-0.9927167,0.99842995
-0.999864,0.997862,-0.9998175,-0.9998464,0.99819326,-0.9996247
-0.9999606,0.999761,-0.9999856,-0.99997896,0.999491,-0.9999565
-0.9982122,0.9836051,-0.9978538,-0.9986482,0.9888867,-0.99553615
-0.9996636,0.9987393,-0.9998553,-0.9999008,0.9970087,-0.99967146
-0.9999341,0.99956036,-0.9999609,-0.9999306,0.99909383,-0.9998861
-0.9171015,0.88478535,-0.9557249,-0.943728,0.83953136,-0.9346332
-0.99998474,0.99993503,-0.9999968,-0.9999969,0.9997372,-0.99998856
-0.49942926,0.40822953,-0.6199337,-0.62189084,0.4328387,-0.53740424
0.9999976,-0.9999869,0.99999976,0.9999994,-0.9999557,0.9999982
-0.98791426,0.98026633,-0.9949435,-0.9956437,0.9651578,-0.9907407
0.9989968,-0.9974903,0.9996636,0.9994993,-0.9952821,0.9991954
-0.999045,0.9827331,-0.9984135,-0.9979696,0.9951981,-0.9962802
-0.9237945,0.88362557,-0.9589459,-0.95504606,0.8551077,-0.9365048
0.5854217,-0.49557173,0.6649171,0.5364186,-0.5480149,0.5980354
0.9999905,-0.9999574,0.9999984,0.9999968,-0.9998808,0.9999938
0.9560015,-0.92906207,0.97086567,0.9755615,-0.9087099,0.95782644
-0.9992396,0.9932624,-0.9992833,-0.9991113,0.9953459,-0.99803734
-0.99999654,0.99998206,-0.9999992,-0.99999833,0.99988604,-0.99999774
-0.9999773,0.9999223,-0.9999956,-0.9999931,0.99966383,-0.9999834
0.9948868,-0.98906106,0.99760056,0.9977314,-0.9831169,0.99547213
-0.99999475,0.99997073,-0.9999987,-0.9999986,0.9998475,-0.9999962
0.9998138,-0.9994904,0.9999617,0.9999306,-0.9988986,0.99987656
-0.9968789,0.94173276,-0.9911613,-0.99451816,0.9821043,-0.98712045
-0.9982122,0.9836051,-0.9978538,-0.9986482,0.9888867,-0.99553615
-0.9983808,0.9928241,-0.9991601,-0.9990011,0.99274945,-0.9970314
-0.9999773,0.9999223,-0.9999956,-0.9999931,0.99966383,-0.9999834
-0.9237945,0.88362557,-0.9589459,-0.95504606,0.8551077,-0.9365048
-0.99998593,0.99992806,-0.99999636,-0.999994,0.99973375,-0.9999881
0.98948723,-0.98385054,0.9958531,0.99395657,-0.97179157,0.9920915
-0.98757136,0.97960037,-0.9956499,-0.99348366,0.9642239,-0.99134636
0.99998444,-0.9999399,0.9999974,0.9999968,-0.9998278,0.99998903
0.99995446,-0.9998772,0.99999297,0.9999893,-0.99960876,0.99997425
-0.997014,0.98136026,-0.99745333,-0.9972906,0.9876398,-0.9932925
-0.99963063,0.9977119,-0.9997675,-0.99981755,0.99674284,-0.9993543
-0.9996636,0.9987393,-0.9998553,-0.9999008,0.9970087,-0.99967146
-0.9648973,0.7754054,-0.9396473,-0.94848615,0.91860616,-0.90620404
-0.9999976,0.9999519,-0.9999989,-0.9999984,0.99992806,-0.99999666
-0.999916,0.9997448,-0.9999811,-0.9999752,0.99916774,-0.999934
0.9987184,-0.9973997,0.99966127,0.9994339,-0.99498665,0.9991135
-0.997014,0.98136026,-0.99745333,-0.9972906,0.9876398,-0.9932925
-0.9999484,0.99904364,-0.99993306,-0.99993277,0.9991214,-0.99985963
0.98625875,-0.97856367,0.99302477,0.99076366,-0.96401656,0.9877016
-0.99998146,0.99981844,-0.9999905,-0.9999915,0.9996185,-0.99997735
0.99966955,-0.9992166,0.99987054,0.99989724,-0.99728006,0.999741
0.9992354,-0.99793506,0.9997196,0.99970317,-0.99606305,0.9993615
-0.99929345,0.99861073,-0.9998154,-0.99971366,0.99539655,-0.9995607
-0.98791426,0.98026633,-0.9949435,-0.9956437,0.9651578,-0.9907407
-0.9999531,0.99980307,-0.9999873,-0.9999898,0.999373,-0.99996156
-0.9999295,0.9995673,-0.99996716,-0.9999748,0.9990182,-0.9999235
-0.9983808,0.9928241,-0.9991601,-0.9990011,0.99274945,-0.9970314
-0.9999939,0.99991107,-0.9999968,-0.9999966,0.99983555,-0.9999919
-0.99998474,0.99993503,-0.9999968,-0.9999969,0.9997372,-0.99998856
-0.99999475,0.99997073,-0.9999987,-0.9999986,0.9998475,-0.9999962
-0.9999773,0.9999223,-0.9999956,-0.9999931,0.99966383,-0.9999834
-0.9992333,0.99869543,-0.9998077,-0.99979717,0.99558437,-0.9995466
-0.9999341,0.99956036,-0.9999609,-0.9999306,0.99909383,-0.9998861
-0.99929345,0.99861073,-0.9998154,-0.99971366,0.99539655,-0.9995607
-0.91862667,0.89052284,-0.9507708,-0.9542726,0.83807456,-0.9314912
-0.99998474,0.99993503,-0.9999968,-0.9999969,0.9997372,-0.99998856
-0.9992396,0.9932624,-0.9992833,-0.9991113,0.9953459,-0.99803734
-0.9648973,0.7754054,-0.9396473,-0.94848615,0.91860616,-0.90620404
-0.5083535,0.440985,-0.5955836,-0.67945564,0.4441842,-0.5190647
-0.9997645,0.9941862,-0.9997029,-0.9994784,0.9986301,-0.9990236
-0.9999083,0.9986584,-0.99990773,-0.999842,0.9990458,-0.9997261
0.91549516,-0.88970226,0.9456043,0.9362886,-0.86128765,0.921764
-0.98757136,0.97960037,-0.9956499,-0.99348366,0.9642239,-0.99134636
-0.9997645,0.9941862,-0.9997029,-0.9994784,0.9986301,-0.9990236
-0.9997605,0.9971657,-0.99975556,-0.99964744,0.99798495,-0.9993153
0.9998138,-0.9994904,0.9999617,0.9999306,-0.9988986,0.99987656
-0.98791426,0.98026633,-0.9949435,-0.9956437,0.9651578,-0.9907407
-0.47483438,0.43471998,-0.65158975,-0.5661411,0.45683634,-0.5163764
0.99963367,-0.99908334,0.99987686,0.9998107,-0.99764764,0.9996955
0.9997846,-0.999404,0.99994373,0.9998881,-0.99850565,0.99985117
0.9998138,-0.9994904,0.9999617,0.9999306,-0.9988986,0.99987656
0.99998444,-0.9999399,0.9999974,0.9999968,-0.9998278,0.99998903
-0.99748224,0.9950918,-0.99917436,-0.9988652,0.98818606,-0.9982547
-0.999995,0.99993813,-0.99999833,-0.9999963,0.9999073,-0.99999356
-0.9998547,0.99943674,-0.99995154,-0.99993986,0.9987134,-0.9998591
0.98625875,-0.97856367,0.99302477,0.99076366,-0.96401656,0.9877016
0.5777345,-0.5309684,0.63051516,0.63794893,-0.49881202,0.5968482
0.999996,-0.99998283,0.99999964,0.99999917,-0.99994385,0.99999756
-0.9998663,0.9953229,-0.99976045,-0.99975055,0.9987081,-0.9994299
-0.99739754,0.99550813,-0.9991643,-0.9992109,0.9889887,-0.99824184
0.9987184,-0.9973997,0.99966127,0.9994339,-0.99498665,0.9991135
-0.99739754,0.99550813,-0.9991643,-0.9992109,0.9889887,-0.99824184
0.61867553,-0.5498856,0.59785134,0.6957375,-0.49509433,0.5961879
-0.9996636,0.9987393,-0.9998553,-0.9999008,0.9970087,-0.99967146
-0.99995786,0.99969447,-0.99997103,-0.99996924,0.9991186,-0.9999399
0.91549516,-0.88970226,0.9456043,0.9362886,-0.86128765,0.921764
0.99861604,-0.9970386,0.9995516,0.99913406,-0.9938718,0.99898684
-0.47483438,0.43471998,-0.65158975,-0.5661411,0.45683634,-0.5163764
-0.9854063,0.93902594,-0.9884557,-0.98950917,0.9613796,-0.9720164
-0.9999976,0.9999519,-0.9999989,-0.9999984,0.99992806,-0.99999666
-0.99999493,0.99997675,-0.9999989,-0.99999785,0.99985784,-0.99999666
0.9997112,-0.9992114,0.9999183,0.999892,-0.9983143,0.99976176
-0.9999531,0.99980307,-0.9999873,-0.9999898,0.999373,-0.99996156
-0.9982122,0.9836051,-0.9978538,-0.9986482,0.9888867,-0.99553615
-0.9999919,0.99994206,-0.9999975,-0.9999975,0.99979174,-0.9999927
0.9999976,-0.9999869,0.99999976,0.9999994,-0.9999557,0.9999982
0.99999815,-0.99999076,0.99999976,0.9999996,-0.9999666,0.999999
0.5826159,-0.51930565,0.6410109,0.637435,-0.54401624,0.59250593
0.99998856,-0.9999598,0.9999985,0.9999974,-0.9998759,0.9999934
0.98948723,-0.98385054,0.9958531,0.99395657,-0.97179157,0.9920915
0.9987184,-0.9973997,0.99966127,0.9994339,-0.99498665,0.9991135
-0.44299382,0.3953847,-0.5536216,-0.50408804,0.34363577,-0.49986148
0.99999815,-0.99999076,0.99999976,0.9999996,-0.9999666,0.999999
0.5845101,-0.5272,0.6496262,0.58126897,-0.5090738,0.6037434
-0.92507213,0.89338166,-0.9573015,-0.9657414,0.8626349,-0.9349466
-0.99963063,0.9977119,-0.9997675,-0.99981755,0.99674284,-0.9993543
-0.98791426,0.98026633,-0.9949435,-0.9956437,0.9651578,-0.9907407
-0.9998811,0.99924463,-0.9999311,-0.9998871,0.9986686,-0.9997842
0.99963367,-0.99908334,0.99987686,0.9998107,-0.99764764,0.9996955
-0.9999914,0.9999582,-0.99999803,-0.99999785,0.9998063,-0.99999386
-0.98757136,0.97960037,-0.9956499,-0.99348366,0.9642239,-0.99134636
0.98625875,-0.97856367,0.99302477,0.99076366,-0.96401656,0.9877016
-0.99956006,0.9945461,-0.9994378,-0.9995926,0.99586636,-0.9988264
-0.79926056,0.10803793,-0.47802532,-0.71067345,0.5948906,-0.45827708
-0.9996636,0.9987393,-0.9998553,-0.9999008,0.9970087,-0.99967146
0.9531858,-0.9271492,0.96746767,0.96696115,-0.89918476,0.9552167
0.9899487,-0.98295593,0.9957898,0.99228776,-0.97238183,0.99207973
0.94749916,-0.92180485,0.9711543,0.96675444,-0.90361345,0.95471835
0.5845101,-0.5272,0.6496262,0.58126897,-0.5090738,0.6037434
0.999745,-0.99948347,0.9999349,0.9999252,-0.99809504,0.9998481
-0.99975824,0.99858004,-0.99986506,-0.9997981,0.99791014,-0.9995478
-0.9237945,0.88362557,-0.9589459,-0.95504606,0.8551077,-0.9365048
-0.9992396,0.9932624,-0.9992833,-0.9991113,0.9953459,-0.99803734
0.5826159,-0.51930565,0.6410109,0.637435,-0.54401624,0.59250593
0.60037136,-0.545826,0.61438054,0.6315294,-0.50487477,0.5844723
-0.98779094,0.9809722,-0.99531317,-0.99503857,0.96443564,-0.9912403
0.9948868,-0.98906106,0.99760056,0.9977314,-0.9831169,0.99547213
-0.9999965,0.9999782,-0.99999917,-0.9999989,0.99987483,-0.9999975
-0.9992396,0.9932624,-0.9992833,-0.9991113,0.9953459,-0.99803734
-0.9998663,0.9953229,-0.99976045,-0.99975055,0.9987081,-0.9994299
-0.999924,0.9994651,-0.99994904,-0.999951,0.99874574,-0.9998827
0.5777345,-0.5309684,0.63051516,0.63794893,-0.49881202,0.5968482
-0.47483438,0.43471998,-0.65158975,-0.5661411,0.45683634,-0.5163764
-0.9998448,0.99896073,-0.9998998,-0.9999125,0.99808663,-0.99974334
0.94852394,-0.92057943,0.9690594,0.95903766,-0.8961785,0.9551631
-0.99999654,0.99998206,-0.9999992,-0.99999833,0.99988604,-0.99999774
-0.999924,0.9994651,-0.99994904,-0.999951,0.99874574,-0.9998827
-0.99739754,0.99550813,-0.9991643,-0.9992109,0.9889887,-0.99824184
-0.9999919,0.99994206,-0.9999975,-0.9999975,0.99979174,-0.9999927
-0.99999475,0.99997073,-0.9999987,-0.9999986,0.9998475,-0.9999962
0.94852394,-0.92057943,0.9690594,0.95903766,-0.8961785,0.9551631
-0.9998811,0.99924463,-0.9999311,-0.9998871,0.9986686,-0.9997842
-0.99739754,0.99550813,-0.9991643,-0.9992109,0.9889887,-0.99824184
-0.47483438,0.43471998,-0.65158975,-0.5661411,0.45683634,-0.5163764
-0.9999484,0.99904364,-0.99993306,-0.99993277,0.9991214,-0.99985963
-0.9999914,0.9999582,-0.99999803,-0.99999785,0.9998063,-0.99999386
-0.98791426,0.98026633,-0.9949435,-0.9956437,0.9651578,-0.9907407
-0.9879024,0.9782388,-0.9950056,-0.993886,0.9624675,-0.990791
-0.99975824,0.99858004,-0.99986506,-0.9997981,0.99791014,-0.9995478
0.99998534,-0.9999354,0.999997,0.9999954,-0.99982333,0.9999886
-0.999987,0.99988365,-0.99999505,-0.9999915,0.9997824,-0.99998415
-0.45273364,0.41309842,-0.50575644,-0.56194377,0.33366343,-0.47185922
-0.9999876,0.9999521,-0.99999756,-0.99999565,0.99976164,-0.999991
-0.9999965,0.9999782,-0.99999917,-0.9999989,0.99987483,-0.9999975
0.9997846,-0.999404,0.99994373,0.9998881,-0.99850565,0.99985117
-0.9996636,0.9987393,-0.9998553,-0.9999008,0.9970087,-0.99967146
-0.99739754,0.99550813,-0.9991643,-0.9992109,0.9889887,-0.99824184
0.99998444,-0.9999399,0.9999974,0.9999968,-0.9998278,0.99998903
-0.9648973,0.7754054,-0.9396473,-0.94848615,0.91860616,-0.90620404
0.99999815,-0.99999076,0.99999976,0.9999996,-0.9999666,0.999999
-0.9999931,0.9999553,-0.99999815,-0.9999964,0.9998326,-0.9999936
-0.99929345,0.99861073,-0.9998154,-0.99971366,0.99539655,-0.9995607
0.9981739,-0.9962266,0.9993319,0.99919164,-0.9927167,0.99842995
-0.99999654,0.99998206,-0.9999992,-0.99999833,0.99988604,-0.99999774
0.99993855,-0.99981236,0.9999863,0.99998564,-0.999445,0.9999557
-0.9992333,0.99869543,-0.9998077,-0.99979717,0.99558437,-0.9995466
0.99966955,-0.9992166,0.99987054,0.99989724,-0.99728006,0.999741
-0.9968789,0.94173276,-0.9911613,-0.99451816,0.9821043,-0.98712045
0.9935374,-0.987249,0.9973606,0.9965164,-0.98084426,0.99469036
0.99998444,-0.9999399,0.9999974,0.9999968,-0.9998278,0.99998903
0.999745,-0.99948347,0.9999349,0.9999252,-0.99809504,0.9998481
-0.9999974,0.99998283,-0.9999994,-0.99999917,0.99989575,-0.9999982
0.91549516,-0.88970226,0.9456043,0.9362886,-0.86128765,0.921764
0.99993855,-0.99981236,0.9999863,0.99998564,-0.999445,0.9999557
-0.92507213,0.89338166,-0.9573015,-0.9657414,0.8626349,-0.9349466
0.9997112,-0.9992114,0.9999183,0.999892,-0.9983143,0.99976176
-0.99739754,0.99550813,-0.9991643,-0.9992109,0.9889887,-0.99824184
-0.9854063,0.93902594,-0.9884557,-0.98950917,0.9613796,-0.9720164
-0.999864,0.997862,-0.9998175,-0.9998464,0.99819326,-0.9996247
-0.98757136,0.97960037,-0.9956499,-0.99348366,0.9642239,-0.99134636
0.99998444,-0.9999399,0.9999974,0.9999968,-0.9998278,0.99998903
0.9999905,-0.9999574,0.9999984,0.9999968,-0.9998808,0.9999938
0.9999945,-0.9999749,0.99999917,0.9999989,-0.9999239,0.9999963
0.9978375,-0.9957765,0.9991112,0.99871343,-0.99101365,0.9981248
-0.9999965,0.9999782,-0.99999917,-0.9999989,0.99987483,-0.9999975
-0.999995,0.99993813,-0.99999833,-0.9999963,0.9999073,-0.99999356
-0.98757136,0.97960037,-0.9956499,-0.99348366,0.9642239,-0.99134636
-0.999924,0.9994651,-0.99994904,-0.999951,0.99874574,-0.9998827
-0.9948877,0.941315,-0.99098086,-0.99084365,0.9814861,-0.9830317
-0.98791426,0.98026633,-0.9949435,-0.9956437,0.9651578,-0.9907407
0.9999645,-0.9998712,0.9999938,0.99998796,-0.9996854,0.99997675
-0.9999914,0.9999582,-0.99999803,-0.99999785,0.9998063,-0.99999386
