h_2_0,h_2_1,h_2_2,h_2_3,h_2_4,h_2_5,h_2_6,h_2_7,h_2_8,h_2_9,h_2_10,h_2_11,h_2_12,h_2_13,h_2_14,h_2_15,h_2_16,h_2_17,h_2_18,h_2_19,h_2_20,h_2_21,h_2_22,h_2_23,h_2_24,h_2_25,h_2_26,h_2_27
-0.4747672,-0.18451998,-0.977604,0.99309313,0.83143514,0.100013174,-0.9986482,-0.9860554,-0.39582965,0.8072932,0.19082728,-0.9401782,0.9992683,0.026845822,-0.7869758,-0.9988278,-0.9227756,-0.7234578,-0.43237022,0.93336314,0.97967184,-0.16238539,0.9086692,0.77529174,0.2379306,-0.96029395,-0.9618292,0.972124
-0.99998933,-0.9990072,-0.99684477,-0.9405141,0.36339658,0.9999997,-0.97331536,-0.9920246,0.9635207,0.82954127,0.99448305,-0.99999994,0.9991117,0.95676035,0.999772,-0.9999627,-0.9870203,0.79120785,-0.98793596,-0.9955483,-0.3151791,0.9999324,0.9999989,-0.12810013,-0.8819054,-0.99489623,-0.9947818,0.990951
-0.99924505,-0.9984851,-0.9986273,0.6411527,0.3693867,0.99996436,-0.99986196,-0.9945455,-0.097920954,0.22310284,0.99292815,-0.99999297,0.99944186,0.77486825,0.99223036,-0.99952656,-0.8996085,0.30710608,-0.7892607,-0.71691096,0.90153027,0.7815544,0.9999812,0.3470653,-0.24470277,-0.9953521,-0.98714316,0.97516245
-0.9359888,0.021857966,0.9142489,-0.21655934,0.9485083,0.99977213,-0.9938149,0.9405457,-0.83855164,0.9995854,-0.56170034,-1.0,-0.75010955,-0.96312976,-0.23245944,-0.99916524,-0.99965024,0.24810621,-0.9582776,0.53562444,0.78217435,0.99983424,0.9998243,-0.9881869,-0.832162,-0.95581275,0.8911082,0.9927836
-0.9999911,-0.9999281,-0.9996254,-0.92495483,-0.41949198,0.9999989,-0.9490995,-0.99936736,0.9993189,0.9113859,0.9998467,-0.9999912,0.9998213,0.99916303,0.9999501,-0.99994206,-0.99473387,0.83759904,-0.99140805,-0.9976385,-0.8294695,0.9998635,0.9999953,0.9830656,-0.97923744,-0.99967337,-0.9978609,0.99646634
-0.9999831,-0.9900037,-0.99342823,-0.9862077,-0.6589533,0.99999994,-0.9185687,-0.9993333,0.99570036,0.9217508,0.9972555,-0.9999987,0.9995745,0.98066306,0.9996672,-0.9999671,-0.9964864,-0.23902643,-0.98608243,-0.9995639,-0.72965705,0.99986875,0.9999956,0.97352165,-0.9921271,-0.99900806,-0.99462986,0.9978916
-0.9999997,-0.9999955,-0.99997693,-0.90344125,-0.94428,0.99999976,-0.999071,-0.9999867,0.99729794,-0.5801427,0.9999802,-0.9995676,0.9999893,0.99815756,0.9999817,-0.99984753,-0.92522246,-0.7561303,-0.8743917,-0.99988765,0.60374665,0.98606086,0.9999986,0.99963176,-0.9943092,-0.9999784,-0.9993106,0.98466575
-0.91824925,-0.4641199,-0.9399754,0.97581124,0.9171533,0.9280596,-0.9990062,-0.8132598,-0.806382,0.92969424,-0.11632145,-0.99997693,0.9865996,-0.58869654,-0.4173546,-0.999775,-0.9844129,0.10186498,-0.7553883,0.948218,0.97476524,0.94795066,0.9976133,-0.5724302,0.24377199,-0.9300752,-0.8733505,0.9769986
-0.9993768,-0.99452317,-0.999782,-0.99762064,-0.6208474,0.9995821,0.9342925,-0.9999977,0.9999121,-0.96220434,0.9995753,0.98790026,0.99999964,0.99960583,0.93721294,-0.9997681,-0.93079257,-0.97514117,-0.5606023,-0.9998606,-0.985158,0.9975001,0.9828873,0.9999997,-0.9957676,-0.99987304,-0.99915713,0.96135324
-0.99998695,-0.9979054,-0.9989373,-0.5636225,-0.7741381,0.99999803,-0.99955773,-0.9987437,-0.17622921,-0.7505223,0.9831443,-0.9999935,0.9994336,0.63069236,0.9982259,-0.9994334,-0.90580916,-0.56585044,-0.7917092,-0.9883298,0.9587305,0.9413379,0.99999076,0.51508653,-0.6402583,-0.99371034,-0.99349135,0.9600311
-0.9999845,-0.9987756,-0.99990183,-0.97329235,-0.74106926,0.99999624,-0.97132474,-0.99998087,0.99902564,-0.020876084,0.99942374,-0.89256716,0.9999988,0.99639666,0.9995027,-0.99991316,-0.9917536,-0.7983325,-0.88975596,-0.9999638,-0.31079656,0.9456738,0.99990773,0.99970365,-0.9796944,-0.9998806,-0.998986,0.9932664
-0.99999774,-0.9998562,-0.99997586,-0.9748364,-0.609827,0.9999995,-0.9976676,-0.99999744,0.99693316,-0.969114,0.9999414,-0.9539607,0.99999905,0.99287635,0.9997127,-0.9999349,-0.92725646,-0.9601753,-0.34667298,-0.99997246,0.2891533,0.92794245,0.99998087,0.9999214,-0.9903719,-0.999898,-0.99947625,0.99013454
-0.9999565,-0.99958545,-0.99990207,0.9249053,-0.3033128,0.99989605,-0.99968034,-0.9991508,0.9814142,0.92500424,0.9995455,-0.9999389,0.999799,0.9929552,0.9997637,-0.99994415,-0.993257,0.96929455,-0.9936054,-0.8071423,0.5797929,0.99278414,0.99988174,0.4554968,-0.94788283,-0.99251515,-0.9986121,0.9984345
-0.9999845,-0.9999535,-0.99961996,-0.9721609,-0.99147725,0.99999046,0.30218545,-0.99990416,0.9999378,0.9283691,0.9999784,-0.9872193,0.99997157,0.9999638,0.9998675,-0.9996838,-0.98786277,0.18101554,-0.9904334,-0.99973917,-0.96951526,0.99961656,0.9999614,0.99997723,-0.99813646,-0.99999344,-0.9953879,0.9793466
-0.9990272,-0.9464174,-0.99555737,0.81485534,-0.063119404,0.9988932,-0.99970454,-0.9901083,-0.46954182,0.6649669,0.8460954,-0.9999817,0.99884754,0.3064594,0.9235294,-0.9996473,-0.9899752,0.3472818,-0.8432358,0.055149876,0.98171115,0.93133104,0.99960244,-0.13432275,0.32148376,-0.97013116,-0.9797753,0.98479766
-0.99999547,-0.9998456,-0.99996936,-0.9909011,-0.47915024,0.99999934,-0.9929233,-0.9999976,0.9984661,-0.96529084,0.9999247,-0.7115288,0.9999995,0.99369264,0.99955547,-0.99992025,-0.9474162,-0.9757574,-0.21572578,-0.9999864,-0.028541196,0.8809208,0.9999557,0.99997497,-0.9932759,-0.9999456,-0.9992846,0.99151593
-0.82141596,-0.21970405,0.7710289,0.5184848,0.98568135,0.9988849,-0.9920358,0.937406,-0.8398239,0.9986936,-0.3922429,-1.0,-0.5651249,-0.9204627,-0.49195817,-0.99966615,-0.9981191,0.5820375,-0.9611884,0.88201725,0.5372266,0.99984497,0.99986815,-0.98490673,-0.82986677,-0.94292325,0.7245404,0.9870808
-0.9986194,-0.9996594,-0.9999405,-0.99844956,-0.84250414,0.9993885,0.93139964,-0.9999962,0.99997663,-0.8571091,0.99995947,0.9950754,0.9999995,0.999863,0.9870935,-0.99954844,-0.9861906,-0.62812275,-0.74276304,-0.99978894,-0.996517,0.97860175,0.98714167,0.9999999,-0.99842316,-0.999949,-0.99801165,0.9492527
-0.9979914,-0.998943,-0.9814012,0.79472,0.8455931,0.9999782,-0.9998809,-0.81651205,-0.72377545,0.61878467,0.9913669,-0.99999964,0.97968894,-0.0041900435,0.9744149,-0.99947184,-0.83783495,0.17876233,-0.8902239,-0.40087754,0.87744606,0.97258735,0.9999922,-0.82321876,-0.8217319,-0.9907828,-0.9119113,0.9603482
-0.9995405,-0.99874455,-0.9977855,0.47643226,0.74866134,0.99997747,-0.99970543,-0.9905332,-0.22878379,-0.09940413,0.9920922,-0.9999975,0.9981733,-0.0072318907,0.9814554,-0.9997852,-0.8551058,-0.4848756,-0.7217705,-0.6927971,0.9238583,0.9658452,0.99997985,0.20023984,-0.77897316,-0.9867326,-0.97161406,0.97822964
-0.6748225,-0.71488893,-0.9252702,0.75889605,-0.17851956,0.5647297,-0.98426056,-0.98995316,0.9328395,0.9968983,0.95132464,0.7733252,0.99982184,0.8666423,0.2022117,-0.9966866,-0.9994099,-0.5898393,-0.5770772,-0.38520345,0.8597617,-0.91749406,0.047283325,0.99798495,-0.9317814,-0.99947363,-0.83389336,0.9979861
-0.9999929,-0.999781,-0.999727,-0.53753316,-0.9783006,0.9999936,-0.9977669,-0.9997719,0.98067975,0.80114514,0.99932957,-0.9995234,0.99998283,0.9920769,0.9997997,-0.999778,-0.9923354,-0.5880068,-0.94706166,-0.9981791,0.88458633,0.84116066,0.9999749,0.9955468,-0.9418524,-0.99990344,-0.9992761,0.9880023
-0.9993027,-0.9997384,-0.9996995,0.91018975,-0.31020328,0.99957716,-0.99993026,-0.99833417,0.38881102,0.63976455,0.99717706,-0.99963605,0.99973476,0.8980793,0.9940652,-0.99932057,-0.96427333,0.4267644,-0.8295663,-0.2716581,0.9623466,0.16710351,0.999833,0.86654407,-0.5198341,-0.9985718,-0.99303836,0.9889738
-0.9999987,-0.99989635,-0.9999745,-0.9737631,-0.67469585,0.9999998,-0.9976112,-0.9999964,0.9966605,-0.9612179,0.9999453,-0.99286824,0.99999833,0.9920069,0.99982005,-0.99993706,-0.897371,-0.96509904,-0.47137973,-0.9999738,0.32789722,0.9709528,0.9999934,0.99985725,-0.98978573,-0.9998799,-0.9994703,0.98616993
-0.9999856,-0.99449754,-0.9972962,-0.71623695,-0.8592602,0.9999987,-0.99930304,-0.99756265,-0.15271538,-0.41527292,0.954089,-0.99999624,0.9989918,0.62925553,0.99860823,-0.9992612,-0.9625177,-0.44856778,-0.89327997,-0.9920888,0.952245,0.95305455,0.99998754,0.16920352,-0.66678303,-0.9925963,-0.98962754,0.9741094
-0.99999964,-0.9999485,-0.9999745,-0.9553646,-0.7957606,1.0000001,-0.99805456,-0.9999939,0.995114,-0.94132704,0.9999542,-0.9999009,0.9999947,0.9897244,0.9999276,-0.99995047,-0.75230956,-0.9688592,-0.6990819,-0.9999647,0.49590665,0.9968422,0.9999993,0.9993751,-0.98685205,-0.9998025,-0.9995808,0.9696657
-0.9999981,-0.9999046,-0.99997294,-0.9855268,-0.60145324,0.99999976,-0.9961965,-0.9999968,0.9977487,-0.9579914,0.9999455,-0.9783145,0.9999988,0.99230045,0.99979186,-0.99993575,-0.9196251,-0.9718468,-0.38768798,-0.999984,0.15879188,0.95441496,0.9999902,0.9999272,-0.9920872,-0.9999233,-0.99936175,0.9882723
-0.99909514,-0.9985787,-0.9995662,0.9993866,-0.8302131,0.9776704,-0.9999905,-0.9965191,-0.71936977,0.99199134,0.98120934,-0.9987766,0.9993977,0.5957936,0.9955414,-0.99949116,-0.9893889,0.9822082,-0.9503215,0.67610985,0.9981926,-0.8325685,0.9942096,-0.9128555,0.15917301,-0.9911303,-0.99832284,0.9904562
-0.94274825,-0.99958956,-0.99986607,-0.91432905,-0.047461223,0.9154247,0.9241585,-0.99974453,0.99996215,0.8351428,0.99980515,0.9726207,0.9999871,0.9997391,0.9721665,-0.99947953,-0.99874914,0.9616577,-0.98102266,-0.89618343,-0.99795294,0.9838656,0.72784644,0.9999589,-0.997169,-0.9989734,-0.99358195,0.9896976
-0.9999957,-0.9994619,-0.99987364,-0.9231236,-0.90452725,0.99999905,-0.973814,-0.99994856,0.9982053,0.36161992,0.9997158,-0.99957234,0.9999923,0.9963354,0.99981976,-0.99993116,-0.9759417,-0.72971565,-0.957075,-0.9998946,-0.17757675,0.9963936,0.9999934,0.99834096,-0.9755555,-0.999777,-0.999054,0.9820934
-0.99940515,-0.99280524,-0.9995736,0.84939736,0.3988427,0.99974525,-0.9972971,-0.9980514,0.8650216,0.7767041,0.98410404,-0.9999686,0.9996253,0.88926065,0.992108,-0.9999667,-0.98472255,0.7708274,-0.9850032,-0.27445728,0.587597,0.99608666,0.99970603,0.102973185,-0.7439807,-0.9399962,-0.99817663,0.9970332
-0.9993171,-0.99933296,-0.9996731,0.95321816,-0.32959583,0.9992781,-0.9999534,-0.9977794,0.04427301,0.5857262,0.99511355,-0.9997439,0.99966097,0.81389034,0.9909953,-0.9993847,-0.9686376,0.5171941,-0.84873945,0.027478375,0.9783725,0.19821891,0.99972713,0.65667135,-0.37599286,-0.9956389,-0.99292904,0.98949176
-0.99998766,-0.9972133,-0.9990889,-0.536075,-0.83339,0.999998,-0.999582,-0.9988514,-0.10071276,-0.80215937,0.9841463,-0.9999907,0.999486,0.7138891,0.9983129,-0.9993883,-0.92373323,-0.59244764,-0.8127072,-0.98739743,0.9582055,0.9293472,0.99998856,0.61186635,-0.6499903,-0.99235475,-0.9942958,0.9655107
-0.99999225,-0.99890834,-0.9998727,-0.9971843,0.13581449,0.99999905,-0.662831,-0.99999595,0.9990194,-0.98518425,0.99807626,-0.9642327,0.99999726,0.99608266,0.9982268,-0.9999817,-0.9200577,-0.96124667,-0.77584326,-0.99987537,-0.73969185,0.9996088,0.9999108,0.9999144,-0.99300176,-0.9995276,-0.9998691,0.9947409
-0.92428964,0.033994123,-0.3987338,0.917168,0.9793494,0.9892167,-0.9967832,0.1754963,-0.9276922,0.9807608,-0.8336187,-0.9999999,0.82601273,-0.70646733,-0.09658983,-0.99988717,-0.9890306,0.90473145,-0.9397514,0.96835625,0.9249786,0.99724144,0.9993681,-0.9885287,-0.031667627,-0.8527613,-0.67869544,0.9879833
-0.9989661,-0.98645777,-0.98901504,0.27816355,0.7633942,0.9999378,-0.998197,-0.95112085,-0.16312052,0.72381306,0.9124946,-0.9999994,0.99688214,0.32097977,0.97219783,-0.9998195,-0.9591665,0.4725189,-0.9280041,-0.48618236,0.8206342,0.99301827,0.9999707,-0.58431727,-0.47760507,-0.9771079,-0.96091837,0.9820382
-0.7619351,-0.43868217,0.72935826,0.7227406,0.9862411,0.99855655,-0.9940836,0.9560526,-0.8843619,0.9984216,-0.35964507,-1.0,-0.49884665,-0.8594974,-0.38968995,-0.99972445,-0.9968984,0.72726554,-0.96811926,0.9125839,0.53460664,0.99971396,0.9999257,-0.9909209,-0.7395201,-0.95636356,0.5343302,0.97949415
-0.99996126,-0.9999947,-0.99996054,-0.9987161,-0.93032223,0.99999017,0.9058544,-0.9999834,0.99997425,-0.7418557,0.99998724,-0.9650765,0.9999717,0.99995744,0.9997857,-0.9998766,-0.98027307,0.6931349,-0.9782532,-0.9981234,-0.9978359,0.99993634,0.9999169,0.99999475,-0.9994689,-0.9999301,-0.99945766,0.9549789
-0.9999249,-0.99541074,-0.9997958,-0.33685857,-0.4354227,0.9999281,-0.94574875,-0.99990046,0.99561703,0.17792109,0.99838984,-0.9958133,0.999985,0.99135935,0.99663043,-0.99994516,-0.96365035,-0.48283666,-0.9632745,-0.99472755,-0.18274921,0.9979265,0.99966747,0.9933804,-0.9647959,-0.99638116,-0.9991961,0.9905611
-0.9999254,-0.9997848,-0.99940753,-0.9958722,-0.96332145,0.9999797,0.8721887,-0.99995166,0.9999774,0.82549816,0.9999395,-0.48655483,0.99999106,0.999969,0.9994668,-0.9998329,-0.99529827,0.02342217,-0.98381054,-0.99987394,-0.9936749,0.9994159,0.99960095,0.99999577,-0.9988874,-0.9999929,-0.9962315,0.9929288
-0.37539485,0.6874077,-0.22842154,0.9399195,0.9873876,0.8736529,-0.99601984,-0.2886183,-0.8991428,0.9587032,-0.8449552,-0.9999828,0.9307681,-0.8593281,-0.9419202,-0.99932855,-0.9736215,-0.44133472,-0.61827356,0.9621344,0.94125706,0.9857078,0.99370253,-0.7058671,0.12363507,-0.902285,-0.3419767,0.9674297
-0.99438775,-0.99252325,-0.99993163,-0.9972958,-0.56765085,0.99190366,0.9806766,-0.9999975,0.99994916,-0.9665382,0.99933827,0.9991408,0.9999998,0.999616,0.81255066,-0.99960953,-0.97000605,-0.86456764,-0.6625225,-0.9993631,-0.99533045,0.9911247,0.886262,0.9999997,-0.99260145,-0.99947834,-0.99938834,0.89537764
-0.3789036,-0.22370319,-0.9870143,0.9997513,0.8450598,-0.9302364,-0.9999365,-0.96553,-0.9460376,0.82382065,-0.64500046,-0.9708545,0.99736285,-0.1310412,-0.89619756,-0.9987104,-0.9511697,0.6373754,-0.59458005,0.9990989,0.9977806,-0.627719,0.7981118,-0.25098407,0.8640972,-0.8770499,-0.9839362,0.9686794
-0.9999986,-0.999903,-0.99993,-0.8509253,-0.9405473,0.9999993,-0.9927594,-0.99992484,0.9983056,0.6654668,0.9998082,-0.9998515,0.99998754,0.998107,0.9999598,-0.9999186,-0.9829522,-0.24283239,-0.98051554,-0.99982405,0.14308724,0.9960185,0.9999975,0.99622715,-0.9794626,-0.9998903,-0.99926686,0.98642045
-0.9997375,-0.9997272,-0.99992156,-0.99703306,-0.77325064,0.99993867,0.41412517,-0.9999957,0.999918,-0.87416345,0.9999691,0.91251075,0.999999,0.9997087,0.99523634,-0.99975276,-0.979261,-0.79082924,-0.6363314,-0.9998871,-0.984227,0.98182863,0.99772894,0.9999993,-0.9979576,-0.99996126,-0.997834,0.97775227
-0.9999717,-0.99993825,-0.9995948,-0.93396205,-0.98817515,0.9999802,0.3480948,-0.9998546,0.99992996,0.9582228,0.9999714,-0.98489285,0.99996096,0.99994504,0.9998255,-0.99975884,-0.9881629,0.3077207,-0.99361354,-0.99944806,-0.96914345,0.999577,0.99992263,0.9999542,-0.9987456,-0.9999874,-0.9948033,0.98522604
-0.99939376,-0.9249744,-0.9994182,-0.014078594,-0.41617042,0.9985369,-0.97904396,-0.9999063,0.95346045,-0.41259605,0.9783693,-0.803168,0.99999756,0.96270925,0.93406475,-0.9998446,-0.9660181,-0.9238028,-0.7552272,-0.9855358,0.7926661,0.83896536,0.99356043,0.9966158,-0.6976821,-0.9954953,-0.9996976,0.9841644
-0.9720455,-0.98791295,-0.8736053,0.90481925,0.8805724,0.99993,-0.9992951,0.08130443,-0.7285749,0.9745466,0.9443534,-0.9999999,0.9374413,0.23160022,0.93104684,-0.9996415,-0.946622,0.8041235,-0.9846616,0.13835236,0.4395122,0.99155486,0.99998754,-0.98273873,-0.65721655,-0.97825855,-0.8952262,0.9628356
-0.999979,-0.9873234,-0.99228513,-0.9833425,-0.65422046,0.9999999,-0.9241564,-0.9991841,0.9939699,0.92395353,0.99621326,-0.9999989,0.99954945,0.9746325,0.9995492,-0.99996877,-0.996873,-0.29045972,-0.9842319,-0.9993322,-0.6423611,0.999817,0.9999945,0.9706664,-0.9902354,-0.9988787,-0.9952032,0.99790925
-0.9999757,-0.999638,-0.9998896,0.34519404,-0.14177583,0.9999919,-0.9989417,-0.99946755,0.9903187,0.87710786,0.9998004,-0.99996495,0.99994874,0.96691966,0.99973536,-0.9999074,-0.9758749,0.05667202,-0.962924,-0.9967619,0.47531635,0.98821276,0.9999856,0.8773685,-0.94055927,-0.9969352,-0.9958029,0.9904829
-0.825042,0.32007313,-0.30926275,0.9402368,0.98698115,0.96326345,-0.99627227,0.30813897,-0.92803645,0.95532364,-0.820075,-0.9999995,0.8822962,-0.66392094,-0.6437329,-0.99980515,-0.977929,0.7009719,-0.90070647,0.9770841,0.9212473,0.9965605,0.99905705,-0.9675994,0.05716547,-0.85248667,-0.6374122,0.97612906
-0.9999902,-0.99852973,-0.9998756,-0.96090806,-0.8317095,0.9999984,-0.98398,-0.99997497,0.99817735,0.14657605,0.9992963,-0.9875556,0.999998,0.99376535,0.99964225,-0.9999106,-0.9897197,-0.84072894,-0.90953046,-0.99996215,-0.019148532,0.9668751,0.99996215,0.9991226,-0.9701344,-0.9998082,-0.99891293,0.9911031
-0.9999984,-0.99965376,-0.99992836,-0.8986449,-0.8865927,0.9999997,-0.9907798,-0.99995047,0.9973481,0.1929988,0.9997809,-0.9999478,0.9999918,0.9942785,0.9999152,-0.99995375,-0.9613814,-0.73449135,-0.95965946,-0.99992305,0.06942651,0.9976908,0.9999986,0.9953482,-0.96602947,-0.9996469,-0.9993045,0.97645164
-0.93119544,-0.9820178,-0.9633437,0.79497015,0.8570707,0.9996668,-0.9792869,-0.8493312,0.59682363,0.9861571,0.9427992,-0.99999756,0.97215873,0.818399,0.9052924,-0.999936,-0.9838292,0.8523232,-0.98604006,0.36011663,-0.56847525,0.9983271,0.99991524,-0.50760394,-0.76568377,-0.98637253,-0.961442,0.9889756
-0.648132,-0.22608618,-0.8043364,0.9714921,0.971354,0.86887676,-0.99558896,-0.5321497,-0.7763519,0.953583,-0.6103684,-0.99998116,0.96173996,-0.43637818,-0.7304559,-0.99984175,-0.9829565,0.21853669,-0.84454274,0.98110306,0.91818154,0.9842571,0.99700457,-0.6653183,0.18223931,-0.93309456,-0.89792955,0.9776895
-0.9990197,-0.998703,-0.99845624,0.91527337,-0.7632308,0.9971323,-0.9984278,-0.9919845,0.9081326,0.9925018,0.9978558,-0.99874,0.99982816,0.9508193,0.9949309,-0.999496,-0.99659365,0.32358193,-0.95318985,-0.61737955,0.93076456,0.24803402,0.9983903,0.9293692,-0.8744506,-0.9990167,-0.9925229,0.9936567
-0.9999948,-0.99976736,-0.99966556,-0.6120747,-0.9913252,0.99999714,-0.9991156,-0.9998434,0.98663366,0.9440252,0.9989137,-0.9991301,0.9999789,0.9933365,0.9999209,-0.9994914,-0.99720144,-0.47652248,-0.97025055,-0.9994676,0.9165163,0.74181646,0.9999629,0.9927558,-0.95462275,-0.99994797,-0.9982988,0.99369246
-0.7824672,0.011247309,0.08822691,0.80776083,0.99089164,0.9888662,-0.9832139,0.65735966,-0.86043745,0.97974193,-0.8325843,-0.9999999,0.74485487,-0.6341576,-0.5590067,-0.99985427,-0.9831897,0.62808996,-0.94649476,0.9537321,0.7373875,0.9992296,0.99963635,-0.9720122,-0.25641194,-0.90796036,-0.58775634,0.97458744
-0.96019965,-0.9731345,-0.9956902,0.99576026,0.7432798,0.9670577,-0.99979514,-0.96007544,-0.21069397,0.9767323,0.7661132,-0.99994063,0.99388224,0.86562186,0.9212518,-0.99990654,-0.9920781,0.98688,-0.97886443,0.9846061,0.90811306,0.8232923,0.9980017,-0.69548696,-0.19502525,-0.9762307,-0.9912598,0.9975738
0.9935724,-0.45532277,-0.9999204,0.9998379,0.9524462,-0.9999829,-0.99881154,-0.9986564,-0.07691978,0.46191338,-0.8017783,0.99999607,0.9998968,0.48201478,-0.9161567,-0.9980339,-0.9124034,0.8777354,-0.18614516,0.9999277,0.9942593,-0.9999839,-0.99951756,0.82676077,0.9720739,-0.81824267,-0.9994845,0.928818
-0.99901754,-0.64747185,-0.4248513,-0.9116305,0.4935813,0.9999827,-0.98147863,-0.69337183,-0.22175303,0.9865908,-0.547604,-1.0,0.9253304,-0.4364592,0.92899173,-0.9997523,-0.99906945,0.37058306,-0.960419,-0.73100346,0.8280452,0.9995482,0.9999333,-0.7527452,-0.6999816,-0.9869876,-0.4545386,0.9955922
-0.99999434,-0.99945897,-0.99953914,-0.734622,-0.99165916,0.9999988,-0.9990163,-0.99986213,0.9875233,0.9628484,0.99813104,-0.9994622,0.99997765,0.9903697,0.99992794,-0.9995125,-0.9979908,-0.5363202,-0.9750277,-0.999784,0.8983954,0.80808175,0.9999668,0.9866339,-0.9438035,-0.9999241,-0.9976236,0.99443394
-0.9984559,-0.98371226,-0.99507356,0.29395178,0.5224106,0.99985754,-0.9857381,-0.9857016,0.8463711,0.97271746,0.9459158,-0.9999946,0.9980178,0.48728737,0.9800833,-0.9999639,-0.99654084,0.27464876,-0.9725018,-0.42730522,0.57693833,0.9958168,0.9997635,0.34402776,-0.8493389,-0.9749819,-0.98614633,0.99745464
-0.99999946,-0.99990666,-0.99997216,-0.9405598,-0.74891824,0.9999999,-0.997471,-0.9999948,0.9942865,-0.9581717,0.9999199,-0.9997521,0.99999577,0.98812133,0.9998501,-0.9999452,-0.6933867,-0.9772805,-0.664535,-0.99994546,0.55455256,0.9969303,0.99999845,0.9994228,-0.98447907,-0.99971056,-0.99965894,0.967295
