h_1_0,h_1_1,h_1_2,h_1_3,h_1_4,h_1_5,h_1_6,h_1_7,h_1_8,h_1_9,h_1_10,h_1_11,h_1_12,h_1_13,h_1_14,h_1_15,h_1_16,h_1_17,h_1_18,h_1_19,h_1_20,h_1_21,h_1_22,h_1_23,h_1_24,h_1_25,h_1_26,h_1_27,h_1_28,h_1_29,h_1_30,h_1_31,h_1_32,h_1_33,h_1_34,h_1_35,h_1_36,h_1_37,h_1_38,h_1_39
0.61092764,0.99030167,0.12379154,0.16100605,0.9947098,0.9962595,0.29946786,-0.9989679,-0.8949047,0.9999776,-0.9650063,-0.99516004,-0.9939742,-0.7125079,-0.8768551,-0.9494837,0.9999725,-0.9628722,0.9992915,-0.9326601,-0.9956671,-0.83242416,0.020714357,0.7917711,0.18989907,0.57671815,-0.8764641,-0.9996008,-0.9662452,0.94724286,0.04476417,-0.6583149,0.56705076,-0.98666495,-0.99788654,-0.82112414,0.84757227,-0.9688343,0.88222253,0.97980464
-0.5950411,0.9666886,-0.9144959,-0.25077182,0.999996,1.0,0.9927002,0.99963284,-0.9846252,1.0,-1.0,-0.99993473,-0.94545203,-0.9571905,0.99078846,-0.9459784,0.99911493,-0.74488604,0.99642473,-0.99430954,-0.96871924,-0.99845225,-0.9968993,-0.9995757,-0.95126265,-0.9983434,-0.16058244,-0.99770635,0.92643076,0.99997306,0.99981904,-0.9931629,-0.99992704,-0.96933246,-0.89500177,-0.9993063,-0.9842194,-0.7378778,-0.99917966,0.99698323
0.9896748,0.85880095,-0.9303897,-0.98950875,0.9890175,0.9976828,0.9780369,0.9543384,-0.5956053,0.99999505,-0.98523444,-0.99962157,-0.83794117,-0.66091377,0.75919664,-0.9664835,0.9999396,0.41319922,0.99651295,-0.95198166,-0.60475785,-0.94342655,-0.3886659,-0.9769362,0.41223294,-0.15852956,0.4432012,-0.98056024,-0.5112196,0.99024063,0.99537385,-0.96346307,-0.91373765,-0.8796055,0.40612978,-0.95348716,0.92623013,0.40149003,-0.67610127,0.9762498
-0.77278596,0.4843007,0.7650355,0.82658786,0.99792516,0.99999774,0.48962024,0.99998343,-0.99996376,0.9999997,-0.9999998,-0.99912906,-0.93563634,-0.99999946,-0.4331766,-0.99916434,0.99619025,0.96685064,0.44122222,-0.97519225,0.78230584,-0.58268833,-0.9984465,-0.99534976,-0.37960246,-0.1429736,-0.8485112,-0.999953,0.88923866,0.9999155,-0.24153496,0.4051159,-0.99996835,-0.694446,0.9835162,-0.7168537,-0.8762239,0.0036210478,-0.990793,-0.6769632
-0.6047459,0.99999535,-0.21678661,-0.9365616,0.9999987,0.9999995,0.99813586,0.6297272,-0.6381663,1.0,-0.99999887,-0.9999169,-0.9693283,0.1676693,0.9990851,-0.89495915,0.999964,-0.97716534,0.9987799,-0.9991086,-0.99915785,-0.99994165,-0.7497236,-0.9995605,-0.7931223,-0.9981436,0.9809787,-0.94468313,0.98767656,0.9999464,0.9999245,-0.99950033,-0.9791544,-0.99901354,-0.995133,-0.9992856,-0.9469806,-0.9597008,-0.97933865,0.99995685
-0.95275867,0.99857026,-0.9969184,-0.9977617,0.9999558,1.0,0.9957565,0.9997634,-0.9983853,0.9999936,-1.0,-0.99996173,-0.94805264,-0.9999666,0.99983734,-0.99721634,-0.36110374,-0.27281076,0.9999943,-0.9999949,-0.2999444,-0.99959797,-0.948108,-0.9999064,-0.8679425,-0.96891993,0.92587817,-0.9998777,0.999729,0.9999987,0.61308813,0.9857477,-0.9999741,-0.99386823,-0.077583306,-0.9971478,-0.9707587,-0.9520359,-0.5946793,0.9999257
-0.8763349,0.9998811,-0.973386,-0.9520118,0.99999195,0.9999969,0.9987998,0.99901456,0.95223874,0.9999999,-0.999958,-1.0,-0.8981973,0.814651,0.23292448,-0.073429964,0.9999989,-0.9936517,0.99999845,-0.99998766,-0.9997173,-0.9992473,0.43574297,-0.9994757,-0.97812444,-0.9985667,0.9999414,-0.99960107,0.9573506,0.9999957,0.99073523,-0.9921399,-0.9821174,-0.9995051,-0.9806916,-0.99995065,-0.63557893,-0.99993056,0.530178,0.99999917
0.5831298,0.7703119,-0.5159386,0.5201841,0.99837434,0.9998807,0.56871575,-0.4847502,-0.99582964,0.99999815,-0.99976295,-0.99743676,-0.9954147,-0.99285907,-0.6808461,-0.98363626,0.9992984,-0.66578525,0.9915683,-0.7406278,-0.93875563,-0.9377988,-0.82544506,-0.5926983,0.21967939,0.5394097,-0.9672962,-0.99989855,-0.912686,0.99137264,0.6834213,-0.69730633,-0.8900532,-0.89892924,-0.9516043,-0.79052883,0.3693203,-0.90465367,-0.6721023,0.8986202
-0.9661544,0.9999925,-0.84735817,0.67984164,0.9999999,0.99999976,0.8609814,-0.99983066,-0.6812056,1.0,-0.99999523,-0.99999714,-0.9999834,-0.5964781,0.98286045,-0.98542356,0.99999803,-0.9996536,0.9999982,-0.99138534,-0.99999905,-0.9999948,0.78634524,-0.7638088,0.5650435,-0.99713165,0.976667,-0.99999696,0.006974449,0.9999492,0.97744966,-0.9947758,0.6292176,-0.99770534,-0.99999976,-0.99952793,-0.60416317,-0.9999973,0.9967005,1.0
0.9754784,-0.44134292,-0.9949645,-0.8668085,0.98895586,0.9923011,0.6317782,0.9973419,-0.42075574,0.9998483,-0.93528014,-0.9942779,-0.87540746,-0.69053215,0.9971223,-0.17833124,0.9990861,0.9511262,0.9921043,-0.48434055,0.0920867,-0.8431479,-0.9366172,-0.9502886,0.8452603,-0.9152646,0.81179774,-0.91382915,0.36694103,0.9881346,0.9984505,-0.0053137927,-0.9796272,0.23877747,-0.0041761785,-0.99186444,0.8021689,0.79197973,0.052726753,0.93835884
-0.110869564,0.9999956,-0.9984135,-0.99878615,0.9999998,1.0,0.9996632,-0.9410644,-0.067562796,0.9999986,-0.99999756,-0.99403703,-0.99365824,0.3723801,0.9999948,0.6853105,0.993831,-0.9967636,0.9999981,-0.9999562,-0.99976176,-0.99997747,-0.83491695,-0.9888132,-0.8998074,-0.9999399,0.8849431,-0.87934697,0.9992089,0.99999183,0.99996537,-0.72692996,-0.97373074,-0.99994797,-0.99999803,-0.99997646,-0.9955743,-0.9978598,-0.96282685,0.9999994
0.05665351,0.99999696,-0.997327,-0.9508924,1.0,0.99999636,0.77884674,-0.9982587,0.90696836,0.9999998,-0.9977912,-0.9999958,-0.9996221,0.9942229,0.99999726,0.30009854,0.9999792,-0.7021788,0.99999404,-0.98178554,-0.9999998,-0.9999986,0.9929808,-0.9815308,0.9879014,-0.99924606,0.9999743,-0.9974943,0.9952598,0.99999624,0.99974346,-0.9855865,0.8794053,-0.94740736,-0.9999961,-0.9999865,0.84177506,-0.9996559,0.99965745,1.0
-0.5733319,0.9999997,0.12315657,-0.80224127,1.0,1.0,0.99769014,-0.999687,-0.96631294,1.0,-1.0,-0.99998844,-0.99931467,0.28461725,0.9689905,-0.9944018,0.999998,-0.94453025,0.99694234,-0.5035806,-0.99999696,-0.9999995,0.8594947,-0.99585396,0.982797,-0.8128657,0.9201124,-0.9999994,0.2829773,0.99998504,0.96679574,-0.99992204,0.043658815,-0.91941,-0.9997843,-0.99115664,0.7560448,-0.99946135,0.089958645,0.99999917
-0.97900176,0.9999951,-0.6526246,-0.99928236,0.99999785,1.0,0.99999833,0.9999862,0.9819194,0.999815,-0.9999847,-0.9999992,-0.89652544,-0.987197,-0.5868415,0.31465945,1.0,-0.9995815,0.99998766,-0.99999404,-0.9966409,-0.999992,0.99868554,-0.9999834,-0.99735504,-0.6796442,0.9999983,-0.9999096,0.9628456,0.99997956,0.9833368,-0.12775345,0.6433922,-0.99999315,-0.9986441,-0.9991988,-0.99973345,-0.9999999,0.8054717,1.0
0.9264013,0.89969414,-0.9275975,-0.042728987,0.9983723,0.9985221,0.6682042,0.81707543,-0.9933874,0.99995685,-0.992999,-0.9630863,-0.9988569,-0.99632645,0.94450766,-0.567508,0.99952036,0.44301033,0.98399794,0.2709362,-0.39454463,-0.9715197,-0.98467004,-0.8952981,0.9061666,-0.26163507,-0.6204291,-0.99824345,-0.38157624,0.99373144,0.9923074,-0.11815791,-0.95734435,-0.6593301,-0.92023546,-0.9103793,0.6484091,-0.66894317,-0.87894124,0.93781656
-0.6542259,0.9999993,-0.9988489,-0.98426193,1.0,0.9999989,0.9892631,-0.84273565,0.3589973,0.9999985,-0.9997451,-0.99982715,-0.9998931,0.6175412,0.9999997,0.8104272,0.9998344,-0.96475005,0.99999845,-0.9983014,-0.9999618,-0.9999989,0.20118657,-0.99812096,0.7942753,-0.9998499,0.99973375,-0.9676834,0.99965096,0.99999475,0.99998057,-0.621104,-0.083092615,-0.99860656,-0.99999845,-0.99997115,-0.8970574,-0.9994604,0.6703433,1.0000001
-0.947484,0.4040804,0.77844745,0.93042237,0.9948536,1.0000001,0.8806705,0.9635576,-0.9969299,1.0,-1.0,-0.99998873,-0.61288136,-0.9998371,-0.98991984,-0.99994946,0.9998802,-0.05958729,0.9477815,-0.9994994,-0.18113326,-0.74815726,-0.9536064,-0.89499897,-0.2380857,-0.9377152,-0.7928188,-0.999994,0.01103176,0.9985374,-0.9125521,-0.9736527,-0.99864274,-0.98868805,0.08692902,-0.87621784,-0.9819492,-0.86048573,-0.94688565,0.7049627
-0.9988314,1.0,-0.79147255,-0.7624573,1.0,1.0,0.99678653,-0.9997946,-0.9292023,1.0,-0.9999998,-0.9999982,-0.9999974,-0.7851334,0.99949133,-0.98324776,0.9995924,-0.9999945,0.99999964,-0.9998091,-0.9999998,-1.0,0.89286685,-0.99832076,-0.74546033,-0.9981316,0.9963281,-0.9999925,0.98922247,0.99999946,0.99318403,-0.99653596,0.13252485,-0.9999331,-0.9999999,-0.9995912,-0.9505619,-1.0,0.88769865,1.0
-0.10573211,0.7168189,0.3197988,0.6136123,0.99594855,0.9991137,0.4376238,0.40078875,-0.8758381,0.99999994,-0.9997282,-0.9999988,-0.7162458,0.025058238,-0.997361,-0.997846,0.9999681,-0.7919766,0.9962952,-0.9930997,-0.98945165,-0.860118,0.8210768,-0.9436925,-0.5242533,0.94708544,0.103497,-0.99995995,-0.97862613,0.9850468,-0.49259818,-0.98604256,-0.60340685,-0.93039757,0.37134072,-0.833763,0.88559055,-0.8191887,0.77531797,0.89950466
0.24313764,0.40091273,-0.5744072,0.44300172,0.98592466,0.99810547,0.26540616,0.2570775,-0.86333203,0.99999917,-0.9992247,-0.9999796,-0.87561774,-0.37748134,-0.92249495,-0.9925668,0.99961436,-0.2184501,0.99481505,-0.97578174,-0.9519869,-0.8382046,0.29695237,-0.8294687,0.3790437,0.4186362,-0.09062506,-0.9997252,-0.85263807,0.9833363,-0.051865507,-0.9464216,-0.7094393,-0.82451683,-0.13886295,-0.86721325,0.8242734,-0.614602,0.43227243,0.8784499
-0.30318278,0.99999905,0.8325201,-0.84319043,0.99999833,1.0,0.9982237,-0.9999997,-0.97160375,1.0,-0.99999803,-0.99969465,-0.9998582,-0.9875343,-0.9996203,-0.97304094,1.0,-0.9998308,0.9999937,-0.99956906,-0.99999905,-0.9986727,0.93658674,0.95463115,-0.6926401,0.41874942,-0.9829491,-0.9999998,-0.90321815,0.9999689,-0.9325599,-0.8486023,0.96661484,-0.99999547,-0.9999999,-0.97159976,-0.5420767,-0.99999934,0.26282597,0.9999915
0.7254124,0.99926275,-0.99479264,-0.9639645,0.9999916,0.9999998,0.9977739,-0.9219646,0.33080032,0.9999999,-0.99998355,-0.999988,-0.98965484,0.28812405,-0.06751502,0.5073867,0.99999714,-0.95534706,0.99999446,-0.9999792,-0.99952334,-0.99845517,0.8502741,-0.8683026,0.0010217871,-0.96110374,0.9083711,-0.99979526,0.85616887,0.9999605,0.9685683,-0.66866595,0.1944081,-0.99998385,-0.9999758,-0.9997943,-0.9230342,-0.9997833,-0.7155882,0.9999664
0.88673884,0.9608326,-0.9042759,-0.74768066,0.993316,0.9976687,0.9829424,0.5177592,-0.39521906,0.9999888,-0.9906671,-0.9998237,-0.9855004,-0.5526795,-0.63014585,-0.90797645,0.9999086,-0.95839846,0.9986089,-0.961904,-0.8518514,-0.9892867,0.013626922,-0.9603069,0.15969713,-0.30529097,0.68660325,-0.99720293,-0.90402704,0.96308374,0.9859789,-0.9924435,-0.4716059,-0.988623,-0.914489,-0.9273439,0.48870072,-0.98669446,-0.70860475,0.9980854
0.78185916,0.9995797,-0.9999802,-0.9826322,1.0,0.9999965,0.07117489,-0.92641187,0.8438718,0.9999794,-0.9749792,-0.99962044,-0.99909276,0.96065015,1.0,0.98972994,0.99935853,0.96113586,0.9999951,-0.9138788,-0.99998826,-0.9999846,0.91383815,-0.9541312,0.99889845,-0.9993147,0.99997157,-0.9924975,0.999619,0.99999744,0.99978304,0.9577765,0.3177184,-0.30104086,-0.9999928,-0.99999726,0.82832396,-0.9859726,0.9999276,0.99999964
0.97303504,0.0546687,-0.991304,-0.90824705,0.9885978,0.99024045,0.71123356,0.9990857,-0.5806701,0.9996941,-0.94443333,-0.98302025,-0.9013285,-0.8982845,0.9992858,-0.11506964,0.9993156,0.9840127,0.97934264,-0.085178986,0.3825537,-0.86020815,-0.982859,-0.9631535,0.9190755,-0.9723552,0.87206817,-0.85800254,0.7888212,0.9945683,0.99898887,-0.013545011,-0.9919975,0.5371324,0.325276,-0.9908224,0.82014173,0.87361187,-0.3651421,0.9338395
-0.6710631,0.9983715,-0.9960829,0.08749243,0.9999999,0.9999999,-0.6154089,-0.9975144,0.050109394,0.9999998,-0.9998438,-0.99999744,-0.99454194,0.67059666,0.99883735,-0.2412004,0.9997302,0.11018732,0.9999877,-0.9991509,-0.99999374,-0.99990094,0.9988575,-0.8519994,0.9867013,-0.72364026,0.99976015,-0.9999842,0.95517546,0.9999709,0.37395257,0.87758183,0.8909944,-0.97716767,-0.9999798,-0.9999372,0.025468016,-0.99950683,0.99999416,0.9999927
-0.3791834,0.9999994,-0.99919355,-0.98568267,1.0,0.9999994,0.95460874,-0.9992695,0.95336497,1.0000001,-0.9996962,-0.99999905,-0.999338,0.99778086,0.9999978,0.08532034,0.9999315,-0.89065844,0.999999,-0.9958395,-0.9999999,-0.99999964,0.9943911,-0.9916582,0.9912803,-0.9997501,0.9999943,-0.99954975,0.9972753,0.99999833,0.99899477,-0.99239,0.71730465,-0.9647232,-0.9999965,-0.99999195,0.8684946,-0.9999238,0.9997929,1.0
0.4928818,0.9998143,-0.9658167,0.67141074,0.9999995,0.9999998,0.9989758,-0.99932194,0.5946316,1.0,-0.99999976,-0.9999887,-0.9995114,0.97388446,-0.96532,0.93646973,1.0,-0.982261,0.9999169,-0.92469484,-0.99997425,-0.9997127,-0.46958187,0.047979567,0.97504854,-0.99755234,0.63802767,-0.9999995,-0.84699285,0.99988973,0.97966295,-0.99905187,0.73693275,-0.9995939,-0.99999976,-0.9998057,-0.62096775,-0.9999835,-0.9568491,0.9999963
-0.9987307,1.0,0.7989937,-0.52601904,1.0,1.0,0.99994195,-0.99959105,-0.3072965,1.0,-1.0,-0.9999936,-0.9987489,0.27335474,-0.101361595,-0.94974035,0.99999994,-0.99999166,0.99992704,-0.99954814,-0.9999979,-0.9999999,0.9878076,-0.99701077,-0.7994482,-0.92010087,0.98643005,-0.9999982,0.4196552,0.9998807,0.9103462,-0.9991835,0.9623806,-0.9999864,-0.9999999,-0.9950434,-0.9990681,-0.9999997,-0.20591152,1.0
-0.9068442,0.9995049,-0.7120252,-0.77525157,0.99994755,0.99999803,0.98258865,0.7063728,0.5333985,0.999942,-0.9999726,-0.9990329,-0.9599474,-0.9503777,0.99877757,-0.45821297,0.9999987,-0.26905698,0.9988651,-0.99592847,-0.97612625,-0.999413,0.36925903,-0.95947075,0.81271064,-0.9970857,0.9992161,-0.99734235,0.98822755,0.99909174,0.97061944,0.45758706,0.24850334,-0.99365294,-0.9996806,-0.99849564,-0.99289453,-0.99342483,0.9534174,0.99998873
-0.011843768,0.9983817,-0.6198306,-0.9259279,0.9998428,0.9999986,0.99586195,0.22656456,-0.55072755,0.9999923,-0.9999975,-0.99444413,-0.93142486,-0.9687498,0.9993661,-0.9744868,0.9999916,0.5872922,0.94161296,-0.8141439,-0.6652384,-0.9997971,-0.29364157,-0.9851614,0.9890688,-0.98837143,0.9811682,-0.99779266,0.89497477,0.9921806,0.9915917,-0.9198154,-0.40785012,-0.8972995,-0.99002254,-0.97846615,-0.93750775,-0.7161643,-0.060977448,0.99989885
0.9620263,0.92491066,-0.8854082,-0.7609419,0.9896155,0.9950899,0.9657145,0.79764605,-0.74911505,0.99998,-0.97629863,-0.99944806,-0.9932093,-0.94306755,-0.51416594,-0.8980509,0.9999838,-0.6367586,0.996875,-0.8025717,-0.6794246,-0.96854585,-0.5480145,-0.91407335,0.6902171,-0.13138133,0.45328072,-0.99860495,-0.89558035,0.97995293,0.98276216,-0.96751857,-0.6508369,-0.9562619,-0.81430644,-0.8970934,0.82022846,-0.9615448,-0.6711374,0.9933147
0.98873866,-0.04580901,-0.9970988,-0.95749503,0.99023217,0.9930128,0.8450121,0.9980241,-0.5218648,0.99975365,-0.9330521,-0.9907933,-0.9399195,-0.84925866,0.9990644,-0.21240035,0.99906707,0.9724732,0.9906629,-0.09160695,0.2981959,-0.937411,-0.9569631,-0.9711747,0.94358015,-0.94756645,0.8570363,-0.91928494,0.58592516,0.99352723,0.99927306,-0.2418837,-0.984613,0.42971477,0.108501226,-0.99015045,0.88539875,0.7545937,-0.39237767,0.97309184
-0.12953898,0.99887127,-0.99906707,-0.95254374,0.99949974,0.99975353,0.85830003,-0.081226215,-0.97778356,1.0,-0.9996816,-0.9996687,-0.9974219,0.82146007,0.9999986,-0.9829722,-0.9551254,-0.99846745,0.9999988,-0.9999541,-0.9680338,-0.99923754,-0.99866486,-0.99896675,-0.9850165,-0.9996982,-0.8295536,0.90160275,0.9912424,0.9991046,0.9999964,-0.9937665,-0.999742,-0.998589,-0.98592365,-0.9987068,-0.66817766,0.8166105,-0.99920326,0.99798995
0.7357506,0.16163814,-0.68875563,0.46374294,0.996348,0.99997413,0.64349025,0.8813425,-0.997648,0.9999993,-0.9999873,-0.99682057,-0.96021134,-0.99826884,0.43390545,-0.9910248,0.9995255,0.81435615,0.9371215,-0.7937007,0.32917964,-0.8558174,-0.9859957,-0.88405466,0.86132395,-0.28396186,-0.9074195,-0.9997812,-0.5453313,0.9905482,0.8179452,-0.55993056,-0.9943114,-0.7070058,-0.22941601,-0.871404,-0.04961315,0.45838305,-0.9166246,0.42559376
0.7704086,0.43106592,-0.85848135,-0.23603489,0.99434084,0.9994657,0.49191123,0.8395088,-0.91510624,0.99999684,-0.9991951,-0.9992675,-0.8259904,-0.81841403,0.7159654,-0.9578737,0.9993174,0.63403857,0.98981404,-0.9313741,-0.6438914,-0.81721276,-0.85942996,-0.88282174,0.6185016,-0.55121595,-0.01778321,-0.99718004,-0.33191866,0.98934406,0.901052,-0.7330145,-0.9768296,-0.6404238,-0.11170571,-0.9656984,0.67749166,0.44075093,-0.026923023,0.83106786
-0.9556089,0.74398553,0.9490828,0.9519302,0.9963348,0.9999998,0.905549,0.97614217,-0.995651,1.0,-1.0,-0.9999985,-0.5347376,-0.9994037,-0.99866384,-0.99996865,0.9999878,-0.3213243,0.91907126,-0.9996707,-0.6685014,-0.7588584,-0.89757013,-0.9520842,-0.5513152,-0.87214416,-0.7047507,-0.99999416,-0.2465649,0.9989529,-0.88446486,-0.99710953,-0.9975341,-0.99391973,0.47245952,-0.8509071,-0.9681888,-0.8721961,-0.9747895,0.61348593
-0.97285134,0.99849933,-0.99080443,-0.3308485,0.99992085,0.99959034,0.9984729,0.99904335,0.2972649,0.9999856,-0.99904794,-0.9999948,-0.9704976,0.9886842,-0.120509915,0.7428915,-0.83946013,-0.99999845,0.9999727,-0.9999425,-0.9920424,-0.9999313,0.44054466,-0.99999267,-0.9999352,-0.62760466,0.98596376,-0.72539306,0.25325707,0.99500763,0.9998253,-0.9981702,-0.9639018,-0.99990743,-0.9739468,-0.9946049,-0.99394196,-0.99995613,-0.9980557,0.9999748
-0.90303487,0.9999055,-0.7097993,0.2908967,0.99996567,0.9999957,0.97340316,-0.52595556,-0.45534632,0.9999964,-0.9999963,-0.99943525,-0.99903446,-0.97314185,0.9994683,-0.89664,0.9999989,-0.2874918,0.9951144,-0.8072183,-0.9654436,-0.9999607,-0.6489218,-0.9708014,0.9977332,-0.99943376,0.998792,-0.99976087,0.9601258,0.99853075,0.98617435,-0.94970626,0.021378081,-0.95739496,-0.9998257,-0.994225,-0.94976693,-0.99711764,0.66208935,0.9999952
-0.99993765,1.0,-0.99823976,-0.986394,1.0,1.0,0.9999384,0.99365413,0.039460115,0.9999033,-1.0,-0.999987,-0.9939247,-0.9265872,0.99996734,0.9714875,0.99085075,-0.99930084,0.9999998,-0.99999493,-0.99991137,-0.9999998,0.8057609,-0.999991,-0.9695098,-0.9983974,0.9999963,-0.99999374,0.9999742,0.9999999,0.94847614,0.9940005,-0.9664409,-0.99989676,-0.99999726,-0.99998957,-0.999962,-0.9999999,0.93032813,1.0
0.52576524,0.43524384,-0.54800236,0.6228355,0.99468076,0.99996126,-0.19850309,-0.7118508,-0.9984393,0.99999964,-0.9999494,-0.99920684,-0.9797424,-0.9969453,-0.47142455,-0.9982164,0.9981648,0.07734059,0.99644184,-0.9867234,-0.7721214,-0.6363105,-0.9134034,-0.24432787,0.49640444,0.3110237,-0.97967964,-0.9998953,-0.7456367,0.9925681,-0.1554931,-0.23412116,-0.9778569,-0.9479998,-0.792929,-0.85910976,0.37810093,-0.12398819,-0.2389955,0.3203915
-0.9815987,0.9999998,-0.9616144,0.74618214,1.0,1.0,0.9803,-0.9999832,-0.70139134,1.0,-0.9999998,-0.9999992,-0.9999995,-0.63194185,0.9838933,-0.9391819,0.99999964,-0.9999613,0.9999999,-0.9914245,-0.9999999,-0.99999976,0.80501854,-0.83982563,0.8345332,-0.9993687,0.9896295,-0.9999999,0.098271295,0.9999947,0.9913026,-0.99802595,0.8442419,-0.9996738,-1.0,-0.99988836,-0.8384054,-1.0,0.9904785,1.0
