h_3_0,h_3_1,h_3_2,h_3_3,h_3_4,h_3_5,h_3_6,h_3_7,h_3_8,h_3_9,h_3_10,h_3_11,h_3_12,h_3_13,h_3_14,h_3_15,h_3_16,h_3_17,h_3_18,h_3_19,h_3_20,h_3_21,h_3_22,h_3_23,h_3_24,h_3_25
-0.9999128,0.9998659,0.9278759,-0.7356802,0.44513476,0.977357,0.90604866,0.9945439,-0.99998623,-0.955629,-0.9797457,-0.79736954,-0.98554075,0.23170392,0.9546426,-0.6939849,0.74878967,0.99573743,-0.8631682,0.98386014,-0.8647269,-0.1864198,-0.99995285,0.99185157,0.9780894,0.9886425
-0.9990362,0.99995613,0.9999974,0.97694546,0.4027084,-0.97355694,0.37322584,0.9995415,-0.9997996,-0.43979886,-0.8157716,0.99986064,0.99999934,-0.99424076,-0.99999934,-0.9999815,-0.61820966,0.998851,0.9999949,-0.99999404,0.9999979,-0.94514096,-0.9996079,0.99460477,0.91113037,0.97621244
-0.99917746,0.9999365,0.9999167,0.21555439,0.94727296,0.8142242,0.8092213,0.9965634,-0.9998939,-0.31205672,-0.84367007,0.8688043,0.9995849,-0.9233663,-0.99933016,-0.99962074,-0.7327789,0.9966014,0.9995686,-0.99784005,0.9995353,-0.9759563,-0.99947435,0.96553797,0.83829296,0.93406683
0.99995226,-0.91940856,0.9998509,-0.83355993,0.73407125,0.97828585,0.98430014,0.99752927,0.99999696,-0.98890525,-0.809889,-0.9209963,-0.99126405,0.9809363,0.9527285,-0.915236,0.015009138,0.09678202,-0.93937826,0.96083647,-0.94666994,-0.23909079,0.99994683,-0.6060439,-0.90586084,-0.9994053
-0.9997276,0.9999855,0.9999915,0.994858,0.5091768,-0.9952045,0.23801789,0.99877703,-0.9999664,-0.67545336,-0.4409923,0.9999911,0.9999999,-0.99926573,-1.0,-0.9999793,-0.33807153,0.99926955,0.9999982,-0.99999887,0.9999999,-0.9115676,-0.9998832,0.99887425,0.951628,0.9915261
-0.99990875,0.99998987,0.99993736,0.9956339,0.856026,-0.9961373,-0.2758315,0.9932107,-0.9999881,-0.6935135,0.2391348,0.99997425,0.9999999,-0.9997864,-0.9999998,-0.99991316,-0.37901342,0.9993386,0.9999967,-0.9999982,0.9999994,-0.9647345,-0.99996364,0.99919754,0.9790496,0.995893
-0.9999771,0.99998784,0.9978427,0.967832,0.9940755,-0.9310017,-0.62304723,0.46571618,-0.99999475,0.27660373,0.93481,0.99738866,0.99999917,-0.9999113,-0.9999995,-0.9988489,-0.7949224,0.99848086,0.9999671,-0.9999886,0.99997574,-0.99583304,-0.9999935,0.99818736,0.9643328,0.99598825
-0.8640627,0.9909483,0.99972254,-0.9568213,-0.3283224,0.9978762,0.9971192,0.99995375,-0.96579784,-0.9713813,-0.99884975,-0.9242601,-0.8774033,0.99281055,0.9027148,-0.9807054,0.7324078,0.98322886,0.08748626,0.92494935,-0.6287517,-0.12052067,-0.96548694,0.65555274,-0.17159225,0.21873698
-0.9999837,0.99998933,0.98441374,0.9997814,0.9509772,-0.9997807,-0.9846264,-0.8912,-1.0,0.83713967,0.9810614,0.999969,0.9999998,-0.9999803,-1.0,-0.9885224,-0.68405557,0.9986379,0.9999854,-0.9999985,0.99999607,-0.9817472,-0.9999994,0.9994146,0.99756587,0.9976184
-0.99979705,0.99997,0.9981697,0.58727926,0.99297065,0.15437976,0.35097423,0.8750745,-0.99991804,0.39679492,0.7122688,0.8705008,0.9999877,-0.9916548,-0.9999802,-0.99838847,-0.7977268,0.995455,0.9999131,-0.99991524,0.9997842,-0.9930692,-0.9999243,0.9728714,0.6513613,0.97726315
-0.9999695,0.9999897,0.9991408,0.9917823,0.9809992,-0.98996174,-0.6916477,0.86097795,-0.99999505,-0.012630434,0.8404694,0.9997355,0.9999998,-0.99992424,-1.0,-0.9993104,-0.6845639,0.99876714,0.99998534,-0.999996,0.99999464,-0.99193364,-0.99999243,0.9991613,0.9832496,0.9975124
-0.999989,0.99998575,0.9929781,0.982287,0.99697685,-0.97270864,-0.7379673,0.0044350554,-0.99999714,0.7497596,0.94978786,0.99708265,0.9999989,-0.9999313,-0.9999994,-0.99414605,-0.85647225,0.9982108,0.9998846,-0.99998826,0.9999266,-0.99661356,-0.999997,0.99852026,0.97199804,0.99750394
-0.99903184,0.99995667,0.9999922,0.68232775,0.8101988,-0.055315398,0.7155754,0.997644,-0.99997973,-0.84888875,-0.70708495,0.998672,0.9999719,-0.9975705,-0.99995995,-0.99997246,-0.5892244,0.9994888,0.9999534,-0.9997748,0.9999892,-0.95373386,-0.9997331,0.99680734,0.9576336,0.9728441
-0.9997134,0.9999635,0.9999788,0.99952656,0.3838223,-0.9997033,-0.29243308,0.9906988,-0.9999887,-0.7825472,-0.09442957,0.99999803,1.0,-0.9997799,-1.0,-0.99997616,0.35330188,0.9996404,0.9999992,-0.99999964,0.9999999,-0.79624313,-0.99987906,0.99918056,0.9758184,0.9866551
-0.99301004,0.99943817,0.9999638,-0.63884544,0.69433343,0.9854643,0.9788403,0.9998308,-0.9985468,-0.72575694,-0.9852515,0.10766676,0.99492824,0.22312862,-0.97514826,-0.9997013,-0.2900459,0.99351954,0.9983657,-0.96913236,0.9966284,-0.86434364,-0.99784875,0.836944,0.50009686,0.79507345
-0.99999136,0.99998915,0.99096787,0.9878643,0.9965027,-0.98408467,-0.8041111,-0.0706436,-0.9999982,0.81720376,0.95356494,0.99822444,0.99999917,-0.9999421,-0.99999964,-0.99093455,-0.87822825,0.9980653,0.9998682,-0.99999034,0.9999384,-0.9963236,-0.9999981,0.99883056,0.98049664,0.9983473
0.99996626,-0.9375857,0.9999099,-0.89493436,0.5620361,0.98967284,0.9911621,0.9987881,0.999989,-0.990475,-0.9441502,-0.8874065,-0.99676937,0.9788378,0.9832762,-0.94395727,0.07811719,0.29356107,-0.9567775,0.9889581,-0.9437678,-0.0935923,0.99986875,-0.17308147,-0.82105666,-0.9989713
-0.99997365,0.99998885,0.99371254,0.99974114,0.907482,-0.99972165,-0.977994,-0.7852218,-0.99999976,0.7654145,0.9762176,0.9999818,0.9999999,-0.9999759,-1.0,-0.99609125,-0.6248045,0.99863666,0.9999938,-0.99999917,0.99999875,-0.9723564,-0.9999991,0.9993671,0.99666476,0.99722123
-0.9594211,0.99958724,0.99998754,-0.7430786,0.8742162,0.9665892,0.9558238,0.99970657,-0.9940297,-0.58982307,-0.9641135,0.0327207,0.9958589,-0.015140419,-0.9661446,-0.9994975,-0.6715708,0.99426067,0.9990776,-0.9761103,0.995442,-0.97225523,-0.9855225,0.8147327,0.2087703,0.6543062
-0.9991765,0.99992526,0.9995961,-0.23497891,0.9881285,0.8358458,0.6928737,0.9887305,-0.9998499,-0.045476995,-0.6548923,0.24368472,0.998672,-0.91407984,-0.996747,-0.9943031,-0.77926797,0.99562633,0.9978116,-0.99091524,0.99374527,-0.9936891,-0.9994979,0.9626838,0.7295049,0.9358915
-0.9999998,0.99999994,0.9173039,-0.21080339,0.9598578,0.75510085,-0.872528,-0.47776097,-1.0,-0.62938285,0.86505556,0.89893,0.92685324,-0.99990964,-0.92889965,-0.95595974,-0.80915254,0.9991286,0.98830336,-0.9290759,0.99438405,-0.93390965,-1.0,0.9998257,0.99975306,0.9999681
-0.9999798,0.9999962,0.9996826,0.9298219,0.97774285,-0.7737374,-0.079917476,0.94133186,-0.999998,-0.7835026,0.7192883,0.9983138,0.9999974,-0.9997606,-0.9999964,-0.9997972,-0.6521094,0.99942946,0.99998194,-0.99997133,0.9999904,-0.98460174,-0.999989,0.9977359,0.9731698,0.99578696
-0.9998434,0.99998224,0.9999046,0.21145898,0.9421615,0.8339423,0.7212755,0.9904832,-0.99999547,-0.7180517,-0.6704498,0.96117616,0.99921346,-0.994796,-0.9987255,-0.99979335,-0.5549715,0.9973714,0.99966294,-0.99700546,0.99985737,-0.941186,-0.9999559,0.99219656,0.9449999,0.9885241
-0.999986,0.9999841,0.9937354,0.9812412,0.99691087,-0.9705858,-0.737877,0.048272062,-0.9999959,0.71320397,0.9498349,0.99705166,0.99999917,-0.99993193,-0.99999946,-0.9953119,-0.8468831,0.9981432,0.9999089,-0.9999888,0.9999363,-0.99692374,-0.999996,0.9984469,0.9697301,0.9970836
-0.9996266,0.99996704,0.9994324,0.5389527,0.9830773,0.14379133,0.5079536,0.9590993,-0.9998494,0.117892526,0.5685758,0.9053047,0.9999922,-0.9855094,-0.999981,-0.99943644,-0.75510037,0.99624336,0.99996,-0.99994516,0.9998782,-0.9884936,-0.999879,0.9647038,0.56622404,0.97280437
-0.9999797,0.9999828,0.9938509,0.9721977,0.99721724,-0.9534995,-0.74629766,0.008471009,-0.9999938,0.6523069,0.9541909,0.9958959,0.9999993,-0.9999313,-0.9999994,-0.9964911,-0.8501326,0.99765337,0.9999401,-0.99998724,0.9999444,-0.99762774,-0.9999944,0.9978087,0.9602792,0.9962022
-0.9999866,0.99998355,0.99366283,0.9855739,0.99666023,-0.9799803,-0.7524657,0.087921016,-0.9999963,0.7456935,0.9449268,0.9978349,0.9999993,-0.9999354,-0.99999964,-0.9946053,-0.84502804,0.99817413,0.99990076,-0.9999903,0.9999398,-0.99664694,-0.9999965,0.99866563,0.97326523,0.9974416
-0.99147534,0.99983186,0.99999344,-0.9630521,0.30852306,0.9989042,0.9841517,0.9998884,-0.9997608,-0.7278085,-0.9905554,-0.42063418,0.9790777,-0.10160395,-0.51891834,-0.9999812,-0.20537636,0.9641391,0.99972427,-0.97084254,0.99891603,-0.2928192,-0.9997425,0.65660864,0.14926803,0.9683285
-0.99991846,0.9999956,0.9999675,0.99974203,-0.5787813,-0.99961495,-0.762494,0.956113,-0.99999964,-0.43480486,0.026660426,0.99999875,0.9999995,-0.99951375,-1.0,-0.9998903,-0.11412794,0.99963003,0.99999875,-0.99999833,0.9999999,-0.60385543,-0.99998826,0.9993836,0.99607193,0.99213433
-0.9999605,0.9999903,0.9995633,0.98980784,0.97145945,-0.98670197,-0.5213538,0.9370341,-0.9999938,-0.4259113,0.7686456,0.9997903,0.99999976,-0.9998969,-0.9999999,-0.99967957,-0.59600484,0.9991164,0.99999094,-0.999996,0.99999666,-0.98814523,-0.99998736,0.9990077,0.98002464,0.9968208
-0.99810624,0.9998405,0.99999386,0.667465,0.7101644,0.21569261,0.7478145,0.9990261,-0.9999181,-0.7284858,-0.92379105,0.99353063,0.9997606,-0.9896968,-0.99966675,-0.99992704,-0.5507688,0.998824,0.9997454,-0.997869,0.9999007,-0.95428115,-0.9995114,0.99443614,0.9574701,0.94978034
-0.9995425,0.99995947,0.99993545,-0.06913353,0.90013015,0.9320081,0.8665636,0.99625355,-0.99998224,-0.7021588,-0.8410396,0.8959803,0.99797726,-0.9775226,-0.9956639,-0.9998065,-0.43930504,0.99581397,0.99952537,-0.992392,0.9997312,-0.9060561,-0.9999007,0.9840471,0.89560026,0.9782181
-0.9998453,0.9999732,0.99779963,0.66520673,0.9939029,0.050839357,0.24015702,0.8222427,-0.9999435,0.40525183,0.7779076,0.9007726,0.9999895,-0.99507165,-0.9999858,-0.99837816,-0.79937994,0.9958081,0.9999158,-0.99992573,0.9998182,-0.99369687,-0.99994445,0.9801014,0.73092645,0.9810719
-0.99996036,0.9999614,0.9977047,0.9981968,0.9906487,-0.9983353,-0.9059108,0.50182045,-0.9999909,0.78236145,0.81999415,0.99972856,0.99999964,-0.9999476,-1.0,-0.9958031,-0.7382594,0.9975819,0.9999423,-0.9999949,0.9999747,-0.9969444,-0.99998814,0.9994371,0.9890086,0.9960433
0.9163427,0.5271791,0.99993616,-0.97169656,-0.85690576,0.9986038,0.99930245,0.9999898,0.9463758,-0.9940416,-0.99847966,-0.91990864,-0.96825856,0.9994737,0.9421376,-0.98605096,0.855375,0.8924201,-0.3761031,0.94028634,-0.82703125,0.43943116,0.9136099,-0.30375034,-0.9262605,-0.9205095
-0.991928,0.9997743,0.99999297,-0.17396346,0.70049363,0.85099804,0.93230426,0.9998113,-0.9982807,-0.6050147,-0.9721682,0.7827513,0.9992697,-0.38439783,-0.99704885,-0.99983823,-0.60875446,0.99634314,0.99964136,-0.9957111,0.9991341,-0.9495259,-0.9960637,0.9064422,0.53926295,0.80969113
0.99995923,-0.9346932,0.99994516,-0.91675603,0.47177118,0.99476063,0.9937885,0.9993941,0.9999788,-0.989283,-0.97046566,-0.89977396,-0.9955544,0.9819744,0.98096216,-0.9690417,0.0053780824,0.293684,-0.9294886,0.98719996,-0.9048806,-0.08799702,0.9997898,-0.122994795,-0.83040255,-0.9987356
-0.9992779,0.99973977,0.999939,0.99979043,0.567068,-0.9998812,-0.65072954,0.86382014,-0.9999732,0.33162123,0.31267768,0.9999971,0.9999998,-0.99984425,-1.0,-0.99994177,0.30282372,0.9990485,0.9999989,-0.99999976,0.9999998,-0.85814875,-0.9998378,0.9990326,0.9517807,0.9668896
-0.9999278,0.9999829,0.99965805,0.9837444,0.9744218,-0.9718912,-0.49566764,0.9395051,-0.9999933,-0.31383637,0.5584798,0.9996297,0.9999989,-0.99985504,-0.9999997,-0.99955595,-0.648956,0.99902874,0.999972,-0.9999855,0.9999915,-0.991049,-0.99997586,0.99910104,0.9846712,0.9950077
-0.9998045,0.9999708,0.9999586,0.99981934,0.263051,-0.99987364,-0.6257928,0.9625975,-0.9999968,-0.7256755,0.20103458,0.9999985,0.99999994,-0.99984497,-1.0,-0.9999561,0.3994357,0.9996842,0.99999934,-0.9999997,0.9999999,-0.74951303,-0.9999415,0.9992474,0.98730093,0.98640966
0.21036494,0.80967444,0.98773605,-0.96710783,-0.5081501,0.99190086,0.996955,0.99962115,0.4414169,-0.997988,-0.99214786,-0.9792443,-0.99876076,0.9982588,0.9960472,-0.36338806,0.94777864,0.9751917,-0.9918325,0.9981741,-0.9981653,0.3557954,0.5026097,0.6192127,-0.32434362,-0.557085
-0.9999807,0.9999891,0.98461044,0.9997843,0.9284427,-0.99978167,-0.98552924,-0.88627595,-1.0,0.8242271,0.9769114,0.9999738,0.99999964,-0.99997914,-1.0,-0.98986465,-0.64557004,0.9986834,0.9999852,-0.99999833,0.99999595,-0.9783095,-0.9999993,0.99951595,0.9979827,0.99752843
-0.99930453,0.9989597,0.9841713,-0.97922146,-0.93423134,0.99923533,0.992101,0.9999246,-0.9997506,-0.96172917,-0.9992426,-0.9873617,-0.9995832,0.99843097,0.9987839,-0.9145226,0.90504426,0.98619366,-0.9714119,0.99831235,-0.9842489,0.9232888,-0.99964046,0.9166053,0.80033445,0.96126837
-0.99994767,0.9999926,0.9998645,0.9810795,0.9413156,-0.9671296,-0.121002555,0.97711664,-0.9999926,-0.6714588,0.5931211,0.999798,0.99999964,-0.99976236,-0.9999997,-0.9998862,-0.5580663,0.99933195,0.99999386,-0.99999464,0.99999833,-0.9771805,-0.9999781,0.99848557,0.96711487,0.9951499
-0.9999833,0.9999925,0.99018043,0.9994153,0.9563824,-0.999373,-0.9746517,-0.7462651,-0.99999976,0.8103022,0.9814554,0.99995744,0.99999976,-0.9999774,-1.0,-0.99325734,-0.7698826,0.9983576,0.99998826,-0.99999875,0.9999976,-0.9854763,-0.9999995,0.9994019,0.9965308,0.99836344
-0.9996623,0.999961,0.9999837,0.9995304,0.28701857,-0.99970263,-0.22499545,0.99232155,-0.99998784,-0.7992725,-0.1895929,0.9999982,1.0,-0.99974453,-1.0,-0.9999809,0.38895226,0.9996593,0.9999994,-0.99999976,0.9999999,-0.7591741,-0.99985546,0.99915147,0.9738654,0.98482823
-0.9999832,0.99998796,0.99522454,0.8896651,0.99617004,-0.58443546,-0.6075365,0.39766413,-0.99999833,0.14073806,0.841391,0.9828726,0.9999805,-0.9998113,-0.9999886,-0.9963099,-0.8402461,0.9984805,0.9996433,-0.9998279,0.9997186,-0.9967299,-0.9999943,0.9978555,0.9858482,0.99585855
-0.09777596,0.99119127,0.9999982,-0.4872444,0.24463248,0.9596434,0.9848527,0.9999733,-0.6217214,-0.8254351,-0.9895461,0.7337391,0.99042994,0.51220894,-0.95636207,-0.9998652,-0.5448779,0.9870079,0.99894077,-0.9631805,0.99732745,-0.90357995,-0.65523493,0.7381443,0.044373006,-0.14635058
-0.9999182,0.9999906,0.99992967,0.9950887,0.87094337,-0.9953561,-0.27744654,0.9924067,-0.999989,-0.70065445,0.27373913,0.9999671,0.99999976,-0.99978286,-0.9999999,-0.99990416,-0.3957535,0.9993472,0.99999636,-0.99999785,0.9999993,-0.96718526,-0.99996585,0.99915224,0.97916114,0.9958844
-0.9998782,0.9999873,0.9999403,0.90980124,0.94711494,-0.6892396,0.20127584,0.9888459,-0.99999446,-0.7961372,-0.18041217,0.9989275,0.99998873,-0.99932045,-0.9999912,-0.99985564,-0.65103686,0.9994869,0.9999474,-0.9998844,0.9999857,-0.98292977,-0.99992895,0.99823195,0.9809899,0.9888941
0.9373384,0.4252269,0.9996676,-0.9718401,-0.8579482,0.9976985,0.99913156,0.99997467,0.96690905,-0.9967117,-0.9977975,-0.92190677,-0.9923381,0.99949235,0.97710574,-0.9609008,0.89078623,0.9139129,-0.82841176,0.9791949,-0.9624084,0.4985479,0.9386919,-0.13491365,-0.8762432,-0.9229819
-0.9999729,0.99999094,0.9992542,0.98819077,0.98207426,-0.98253614,-0.5963337,0.8820993,-0.999995,-0.2433794,0.832444,0.99959457,0.9999995,-0.99990666,-0.9999998,-0.99945825,-0.6628613,0.99899805,0.9999856,-0.99999446,0.9999937,-0.9913704,-0.99999106,0.9989537,0.98056513,0.99707377
-0.99996537,0.99999034,0.9994075,0.9849952,0.97985375,-0.9761198,-0.52455056,0.90180296,-0.9999939,-0.3259959,0.81159455,0.9995673,0.9999997,-0.9998892,-0.99999976,-0.99959004,-0.65690565,0.9990108,0.99998736,-0.999994,0.99999434,-0.9908263,-0.9999885,0.9987719,0.9770526,0.9964532
-0.9651454,0.9983287,0.9999988,0.8699902,-0.15973447,-0.5266915,0.8248753,0.99992275,-0.9981952,-0.7120771,-0.9906561,0.99813306,0.99965334,-0.9648906,-0.9995966,-0.99994254,-0.16458613,0.9974985,0.9996286,-0.9959555,0.9998814,-0.8676803,-0.99668074,0.9953059,0.95862603,0.9045554
-0.5698918,0.96406573,0.99951315,-0.9476949,-0.75712657,0.99669397,0.99785286,0.9999589,-0.8479056,-0.9917634,-0.99871945,-0.8946317,-0.9695113,0.996513,0.9306747,-0.96958613,0.8875998,0.98130023,-0.5590864,0.9706406,-0.8814958,0.30276012,-0.8227973,0.7239351,-0.31569585,-0.089538895
-0.9999164,0.99999255,0.99991965,0.39829174,0.9541398,0.5413218,0.48802567,0.98079425,-0.9999988,-0.8784364,-0.1706627,0.9933866,0.99987954,-0.99938864,-0.9997816,-0.9999083,-0.5785631,0.9990469,0.999907,-0.99942094,0.9999708,-0.95665014,-0.9999802,0.99726766,0.9731808,0.9947909
-0.9999816,0.99999726,0.9997794,0.92468065,0.97102994,-0.7590756,-0.0119813,0.9573869,-0.9999981,-0.824985,0.6779597,0.99858546,0.99999744,-0.99973255,-0.9999963,-0.9998608,-0.63246614,0.9994302,0.99998677,-0.99997526,0.99999344,-0.9799003,-0.99998945,0.9975479,0.96974975,0.9961349
0.98715466,0.030210285,0.99974394,-0.9418233,-0.74955314,0.99600405,0.99854106,0.99994606,0.99231714,-0.9968758,-0.9949025,-0.8660301,-0.986214,0.9981916,0.9425758,-0.96793824,0.7927489,0.84501445,-0.7820119,0.96572405,-0.922182,0.3558669,0.9816201,0.1266865,-0.86018413,-0.9601008
-0.96401316,0.9980785,0.9999987,-0.07164946,-0.3641202,0.96711725,0.9831989,0.99996907,-0.9958549,-0.81721276,-0.9975217,0.7437905,0.96454716,-0.013580826,-0.8967078,-0.9999377,0.053682424,0.9943343,0.99781376,-0.7898683,0.99760103,-0.6301625,-0.99427396,0.9410012,0.79630953,0.6775715
-0.99999976,0.99999374,-0.5302571,-0.95330447,-0.9834405,0.9976363,0.6598187,0.97216225,-1.0,-0.82680035,-0.9767794,-0.967703,-0.99995893,0.7722903,0.9995648,0.68837667,0.834901,0.9984346,-0.99758613,0.99984026,-0.9945296,0.9512374,-0.99999994,0.99988085,0.9995849,0.999961
-0.9141748,0.9987999,0.9999788,-0.4090304,0.25571585,0.8271416,0.97915554,0.99977756,-0.8979274,-0.9507096,-0.8961267,0.39674878,0.997349,0.87470037,-0.99658895,-0.9988374,0.085547686,0.98293453,0.9976199,-0.9933555,0.99088913,-0.6473039,-0.80578667,0.5347368,-0.78530174,0.22288425
-0.99998206,0.99999714,0.99978024,0.9394866,0.9692371,-0.810698,-0.024862012,0.9608814,-0.9999978,-0.82590204,0.68676704,0.99877113,0.99999815,-0.99972016,-0.99999726,-0.99985844,-0.6225368,0.99945545,0.9999883,-0.9999792,0.99999386,-0.98017824,-0.999989,0.9975354,0.969595,0.9959541
-0.9994412,0.9999419,0.9999842,0.72339654,0.8181383,-0.092759855,0.6539962,0.9987631,-0.9999531,-0.791582,-0.87405604,0.99174106,0.99982125,-0.98921376,-0.9997593,-0.9997824,-0.5143711,0.99888706,0.99972284,-0.9983707,0.9998596,-0.9659592,-0.9997274,0.99448186,0.9492243,0.96754664
-0.99998003,0.99998283,0.9930896,0.9689724,0.9975478,-0.94775337,-0.7427605,-0.050248694,-0.9999935,0.6763722,0.95331836,0.9949601,0.99999905,-0.9999262,-0.9999993,-0.99589425,-0.8610022,0.99750555,0.9999318,-0.99998456,0.9999317,-0.99780566,-0.99999434,0.99745715,0.9566571,0.9959459
-0.9997902,0.9999773,0.99998105,0.9742255,0.80736476,-0.93520045,0.22868307,0.9978376,-0.99995303,-0.45212373,-0.6463219,0.9995745,0.9999972,-0.9966956,-0.9999985,-0.9999092,-0.6383924,0.99880195,0.99997824,-0.9999748,0.99999344,-0.9709688,-0.99984497,0.9963181,0.95166755,0.9820621
-0.9999532,0.99999213,0.99975556,0.9447415,0.9743012,-0.8452752,-0.122808866,0.96022207,-0.9999966,-0.76337904,0.5462486,0.99894214,0.9999972,-0.99975955,-0.99999726,-0.9997573,-0.6365595,0.9994544,0.99997294,-0.9999617,0.99998915,-0.98736775,-0.99997795,0.9984432,0.9814497,0.99447906
0.1608905,0.9043706,0.99995786,-0.96898824,-0.8920363,0.9986611,0.99927914,0.999995,0.0130262235,-0.98634875,-0.9994052,-0.9110623,-0.8858591,0.9994406,0.862547,-0.9930364,0.8817487,0.94677776,0.28963315,0.87017405,-0.5590768,0.42467585,-0.0026404832,-0.15905759,-0.8892961,-0.6496869
-0.9997337,0.99998456,0.9999758,0.77642715,0.9079229,-0.24504374,0.60642767,0.9930603,-0.9999938,-0.87116754,-0.31406224,0.9990851,0.99998534,-0.99900526,-0.9999845,-0.9999553,-0.5977401,0.9995833,0.9999656,-0.999882,0.9999938,-0.96408695,-0.99988866,0.99780226,0.96521777,0.98415256
-0.9999793,0.99998224,0.9934823,0.9385636,0.9978914,-0.8511781,-0.6709469,-0.11224169,-0.99999595,0.59081316,0.9515197,0.9898591,0.9999973,-0.9999179,-0.99999803,-0.9962112,-0.8644717,0.9980623,0.99987817,-0.9999659,0.99988145,-0.99777126,-0.99999446,0.9976879,0.96391284,0.99555594
0.86941844,-0.85067695,0.81264824,0.9983508,-0.353311,-0.9995505,-0.5953724,0.32273495,0.92479736,-0.99834746,-0.15927447,0.9951631,-0.9987537,-0.98270947,0.44470656,0.4289257,0.973628,0.99860746,-0.9996828,0.9986446,-0.9713416,0.575855,0.980321,0.9999279,0.99980974,-0.8117242
-0.9998906,0.99998844,0.99992675,0.9929459,0.87284726,-0.99350893,-0.18911052,0.99050194,-0.99998844,-0.6364985,0.3729022,0.999969,1.0,-0.99980736,-0.99999994,-0.99992645,-0.4253349,0.9992587,0.9999972,-0.9999984,0.9999996,-0.9631274,-0.9999687,0.99909574,0.9720327,0.9960063
-0.9999635,0.99999523,0.9998803,0.96128833,0.9473543,-0.8997725,0.08309665,0.9771771,-0.99999523,-0.79582256,0.5923694,0.9995228,0.99999905,-0.99966365,-0.9999989,-0.9999045,-0.58136445,0.99948215,0.9999923,-0.9999885,0.9999973,-0.97512925,-0.9999797,0.9978431,0.96273386,0.99437225
